OpName,Num,MaxDelay,MinDelay,AverageDelay
getBlockLocations,1283,5315079,0,270276.056832935
RPC:getBlockLocations,1283,100870122,944099,4828946.91818659
readBlock,3304,78122806,1719725,23950715.5881507
getFileInfo,1624,6682104,0,198988.975972761
sendBlock,3304,76921615,1036895,22792199.4524178
newBlockReader,3304,181187503,1433628,6503441.69072049
blockSeekTo,3572,3119119494,0,872017990.911288
OP: new blockSender,3304,17200661,0,740917.132146333
RPC:reportBadBlocks,3032,8305823,110877,1491919.25405384
OP: receive block,3032,57702154,9093293,20441170.5117969
reportBadBlocks,3032,1889481,0,186275.27457793
chooseDataNode,3573,3105701566,0,864441105.347715
OP: try new BlockReader,3305,3002058518,3532163,8568014.9667537
RPC:getFileInfo,1624,8898087,57688,1662888.23389142
bestNode,4450,1159552,0,18498.4341754665
