OpName,Num,MaxDelay,MinDelay,AverageDelay
chooseDataNode,3364,6736384,0,284669.747102369
getBlockLocations,512,5430029,126761,362766.869954418
OP: try new BlockReader,3365,1762788215,4008163,21229377.1904644
RPC:getBlockLocations,512,292486201,1624983,11571361.3751625
getFileInfo,1416,7575095,0,269420.457960714
newBlockReader,3365,1756162360,2535369,12397645.4406989
bestNode,3365,6440297,0,26388.3728765435
RPC:getFileInfo,1408,206014346,645120,6573588.43435865
blockSeekTo,3365,1763557808,4383751,22691251.7012126
OP: new blockSender,3365,609905359,0,1016365.16997569
readBlock,3363,31062202681,381530565,1755611627.67547
checksumOk,3365,69618611,0,359840.253132745
sendBlock,3365,31038062713,375316468,1694372794.3055
verifiedByClient,3349,1305464082,0,628117.020296615
OP: receive block,3364,31059721639,379424205,1745887796.34445
