OpName,Num,MaxDelay,MinDelay,AverageDelay
chooseDataNode,6027,3110203394,0,289284996.435125
getBlockLocations,1008,5053812,0,370626.40769321
OP: try new BlockReader,5696,1012743515,3444015,17231422.7565414
RPC:getBlockLocations,1009,74431045,1361829,9397411.64023791
getFileInfo,1427,6213303,0,241169.851321858
newBlockReader,5696,905387666,1885781,10913531.3620975
bestNode,6526,5283668,0,24193.4295675808
RPC:getFileInfo,1426,235402107,363877,5476719.93424775
blockSeekTo,2753,10411264451,0,632890063.487757
OP: new blockSender,5696,893935703,0,1558376.63562198
readBlock,5696,11967781782,369229,548614441.679911
sendBlock,2421,11961107337,395305166,1165690326.34146
OP: receive block,2421,11965430547,399451228,1195845797.65354
checksumOk,2421,7492879,0,346732.355889755
verifiedByClient,2267,14339594,0,103733.664417345
