OpName,Num,MaxDelay,MinDelay,AverageDelay
chooseDataNode,3637,4576546,0,284428.759339974
getBlockLocations,533,1630295,150399,402616.979362099
OP: try new BlockReader,3635,1031578059,3829128,19756564.2244011
RPC:getBlockLocations,533,578254295,1570474,13240260.6679175
getFileInfo,1420,6204698,0,301477.608214002
newBlockReader,3636,630468870,1753921,10881106.1319813
bestNode,3637,2779076,0,23553.3939455544
RPC:getFileInfo,1420,41536026,458731,6608252.55468505
blockSeekTo,3586,3072520142,4274554,22630769.8088547
OP: new blockSender,3637,277093239,0,860057.977917976
readBlock,3635,21822295577,781195,1598153550.66417
checksumOk,3587,9152546,0,346248.806593976
sendBlock,3585,20106109144,375589742,1556296443.73424
verifiedByClient,3379,71782797,0,131048.660097609
OP: receive block,3587,21820709452,379309675,1609474504.51697
