OpName,Num,MaxDelay,MinDelay,AverageDelay
chooseDataNode,5197,3187209431,0,741309031.604327
getBlockLocations,1417,5937084,0,325384.07537021
OP: try new BlockReader,4495,246806273,2491927,9322693.90234665
RPC:getBlockLocations,1417,185616567,1390461,5742631.55360503
readBlock,4495,3033811333,0,106178705.318624
getFileInfo,1456,6504185,0,250888.146129774
newBlockReader,4495,246060511,664861,6506278.49144975
bestNode,6250,3937361,0,21500.1559318207
RPC:getFileInfo,1456,29994801,318668,2150221.54188162
blockSeekTo,1180,9416883704,0,3318939069.90331
OP: new blockSender,4495,18773405,0,795652.510683137
checksumOk,478,4241554,0,377449.369595536
sendBlock,478,3027594768,398949550,796884338.985847
verifiedByClient,477,3097784,0,104878.668204053
OP: receive block,478,3029916608,402943980,813464217.624371
