OpName,Num,MaxDelay,MinDelay,AverageDelay
chooseDataNode,3447,7817033,0,285422.829668993
getBlockLocations,513,1975110,140150,373946.791422995
OP: try new BlockReader,3447,1985228915,3855480,25456110.4743821
RPC:getBlockLocations,513,60115986,1622214,10246532.0326511
getFileInfo,1380,5035938,0,265222.075324907
newBlockReader,3447,1971721630,2046726,15475987.6551405
bestNode,3447,3529520,0,24958.6851991052
RPC:getFileInfo,1380,220034205,597519,5718308.33577345
blockSeekTo,3447,1985830243,4212504,26760452.5582859
OP: new blockSender,3447,59313367,0,727373.966909421
readBlock,3446,34130879956,238549715,1769112146.11288
checksumOk,3374,8085540,0,350233.800471724
sendBlock,3447,33677984069,232767959,1703568020.22188
verifiedByClient,3357,777303557,0,402394.102527538
OP: receive block,3666,34102127316,235787147,1737462775.95563
