OpName,Num,MaxDelay,MinDelay,AverageDelay
chooseDataNode,3441,7575876,0,285974.62290068
getBlockLocations,489,7711455,0,430347.777607356
OP: try new BlockReader,3442,7387270267,3829032,77859052.8300301
RPC:getBlockLocations,489,615749006,1624692,12342661.0913434
getFileInfo,1348,5406633,0,260516.997899253
newBlockReader,3387,2118781036,2721240,12543157.588238
bestNode,3441,512863,0,23307.34518907
RPC:getFileInfo,1348,231388739,698069,6489870.93885164
blockSeekTo,3387,7399651926,4193291,77442465.8577478
OP: new blockSender,3387,85610345,0,880505.800852743
readBlock,3387,24240878676,392371726,1783001329.23152
sendBlock,3387,23555498803,386555345,1725404115.32263
OP: receive block,3387,24237984933,390358400,1775081123.05422
checksumOk,3386,7874965,43548,358265.475511755
verifiedByClient,3375,168188323,0,233104.680422519
