OpName,Num,MaxDelay,MinDelay,AverageDelay
chooseDataNode,3427,9049589575,0,676932839.235312
getBlockLocations,1003,8947241,0,323968.951777995
RPC:getBlockLocations,1003,55349843,1172045,6213715.81045197
getFileInfo,1096,6207863,0,218902.278521966
bestNode,4156,432995,0,20742.4754452671
RPC:getFileInfo,1096,17308396,315383,2532171.70102111
OP: try new BlockReader,2941,3013345175,4161561,2527003940.58472
newBlockReader,497,405930727,2909370,9767876.51911482
blockSeekTo,983,45134804243,0,11731510197.9883
OP: new blockSender,497,18160999,0,861608.473272963
readBlock,497,3575820805,389902782,847899601.86412
checksumOk,497,804144,116890,329764.261804161
sendBlock,497,3331068746,384253403,823199691.02291
verifiedByClient,495,2339507,0,114784.816161617
OP: receive block,497,3336279032,387855262,840904399.696477
