OpName,Num,MaxDelay,MinDelay,AverageDelay
getFileInfo,75,5731129,164811,1115011.10288893
addBlock,431,17017811,0,566984.837741687
RPC:getFileInfo,75,18658969,2013202,4519835.46755544
RPC:addBlock,431,21252588,952776,3243530.0312838
RPC:create,75,18798335,2696655,4088410.62666665
create,75,16342056,1398907,2480862.90666669
abandonBlock,307,892236,0,251657.931053203
createBlockOutputStream,431,18007504755,14671150,2263614750.35134
RPC:abandonBlock,307,15266419,1015663,2034357.84500542
writeBlock,519,18003049410,701918070,2799480551.24364
OP: connect next Datanode,395,18001783889,4012272,1228516956.62999
nextBlockOutputStream,189,27090624807,16637120,5123397066.77292
OP: new BlockReceiver,406,3101551819,471981,267404658.016046
OP: send block,124,7935957363,689181221,2613152777.18414
receiveBlock,372,7959970300,695198869,2611714887.60325
RPC:complete,10,7411395,2137826,3826222.1
complete,10,4198953,1279672,2084471.2
