OpName,Num,MaxDelay,MinDelay,AverageDelay
chooseDataNode,3103,4519233,0,279696.084636722
getBlockLocations,455,5435363,55993,382453.890293032
OP: try new BlockReader,3100,1715124973,3834018,36417226.9192309
RPC:getBlockLocations,455,64730552,2112821,9875649.17399301
getFileInfo,1260,7895448,0,244028.563642655
newBlockReader,3101,1714187997,2081048,17872923.8442205
bestNode,3102,394203,0,22703.3433627752
RPC:getFileInfo,1260,43054491,494004,5007409.20939858
blockSeekTo,3100,1715511693,4241067,37674436.8190133
OP: new blockSender,3103,26546738,0,753515.1768209
readBlock,3103,57535409411,387588398,2450743438.62784
checksumOk,3103,5497385,0,354261.545280092
sendBlock,3101,57300734290,380084502,2387433624.42975
verifiedByClient,3096,123929412,0,182313.972331911
OP: receive block,3103,57431721352,385397647,2444042661.64477
