OpName,Num,MaxDelay,MinDelay,AverageDelay
nextBlockOutputStream,608,1003306785,18496523,180010850.243665
OP: new BlockReceiver,1824,925723289,391568,55926228.4293931
getFileInfo,60,6755812,507712,1174107.68055551
addBlock,608,98916995,67581,732886.735005479
RPC:getFileInfo,60,9524532,2275659,4338520.28888889
createBlockOutputStream,608,999793422,16242742,174116197.188812
OP: connect next Datanode,1216,924298089,4214706,90262083.7611155
RPC:addBlock,608,115330732,1482525,4299477.97088816
RPC:create,60,19850079,2635430,4327468.06111111
create,60,18458479,1434676,2687718.44999999
OP: send block,608,39071928868,893603196,14475298708.6092
writeBlock,1824,39644236099,974504402,14612692692.5409
receiveBlock,1824,39392583776,900686930,14476663312.04
complete,60,132016118,1300115,4735679.23333332
RPC:complete,60,133612623,2018432,7459423.59999998
