OpName,Num,MaxDelay,MinDelay,AverageDelay
chooseDataNode,2617,5190856,0,282031.456354182
getBlockLocations,377,5796948,191634,466890.134394337
RPC:getBlockLocations,377,118398139,43912805,60902226.259284
getFileInfo,1028,4742042,34070,339185.004835632
bestNode,2617,4558369,0,25825.3494750166
RPC:getFileInfo,1028,306516057,40858843,44378441.4148444
OP: try new BlockReader,2617,1105345881,83683725,119919918.69783
newBlockReader,2617,222340470,42807681,48867647.8663563
blockSeekTo,2617,1105687902,84161838,127101785.344861
OP: new blockSender,2617,57917551,0,784270.745317968
readBlock,2617,30434394994,2221735946,3915208993.81992
checksumOk,2617,3669692,0,340976.020969598
sendBlock,2617,30266775866,2141686522,3794203179.31973
verifiedByClient,2593,546426997,0,660668.304429395
OP: receive block,2617,30391539946,2179243117,3865985640.03467
