OpName,Num,MaxDelay,MinDelay,AverageDelay
getFileInfo,13415,14472038,2634,164220.794175908
mkdirs,1237,17197673,656040,1448439.27393519
RPC:getFileInfo,13415,32932730,402847,2530084.05825827
RPC:mkdirs,1237,19681329,1189892,2625491.17189085
complete,1229,28894725,706441,1272050.48502027
RPC:complete,1229,32290683,1252645,2498174.14997353
rename,1227,46238287,739112,1523161.60485979
RPC:rename,1227,47331678,1472425,2637382.5457094
RPC:create,1229,31003102,1502956,3041622.46095262
create,1229,29301097,797759,1620297.58635834
setOwner,1217,26945688,658251,1158526.16436599
setPermission,1219,17054730,628253,1164553.1522715
RPC:setOwner,1217,28190490,1205233,2475798.14755219
RPC:setPermission,1219,18300429,1143467,2457010.33202011
RPC:getContentSummary,1213,22661598,1347026,2477095.8150464
getContentSummary,1213,20681293,106506,371219.051057542
getListing,1217,869818,61241,185747.83553792
RPC:getListing,1217,62100041,931027,2284512.02707231
RPC:delete,1210,11759493,1252850,2110979.68679922
delete,1210,10205062,664667,1204303.11337002
