TaskID,TID,OpName,StartTime,EndTime,HostAddress,HostName,Agent,Description
39709E65EA17B85C,C4C569D203608C2F,getFileInfo,3950628818984475,3950628819761906,10.107.100.57,namenode,Namenode,Success: return(OW[class=class org.apache.hadoop.hdfs.protocol.HdfsFileStatus,value=null])
8DB775CF14417416,9DADF79E56E7FC95,getFileInfo,3950628822873198,3950628823642164,10.107.100.57,namenode,Namenode,Success: return(OW[class=class org.apache.hadoop.hdfs.protocol.HdfsFileStatus,value=null])
39709E65EA17B85C,B12BBE1F26820F1B,RPC:getFileInfo,1773982166545812,1773982579815004,10.107.100.38,client017,RPC Client,Success: return(OW[class=class org.apache.hadoop.hdfs.protocol.HdfsFileStatus,value=null])
8DB775CF14417416,82ACE33EF2376CDF,RPC:getFileInfo,2138545579776811,2138545987533039,10.107.100.113,client002,RPC Client,Success: return(OW[class=class org.apache.hadoop.hdfs.protocol.HdfsFileStatus,value=null])
81BD73BA6D573FA9,31B9AD8C937C6B42,getFileInfo,3950628930803569,3950628931419964,10.107.100.57,namenode,Namenode,Success: return(OW[class=class org.apache.hadoop.hdfs.protocol.HdfsFileStatus,value=null])
81BD73BA6D573FA9,291EF8BA3FE0124C,RPC:getFileInfo,758380704398255,758381108852304,10.107.100.133,client022,RPC Client,Success: return(OW[class=class org.apache.hadoop.hdfs.protocol.HdfsFileStatus,value=null])
9AED09DA967AC250,C421CE6AE2506386,getFileInfo,3950628947164147,3950628947952291,10.107.100.57,namenode,Namenode,Success: return(OW[class=class org.apache.hadoop.hdfs.protocol.HdfsFileStatus,value=null])
9AED09DA967AC250,28B1006BBEB8E433,RPC:getFileInfo,3942044326797888,3942044729949660,10.107.100.138,client027,RPC Client,Success: return(OW[class=class org.apache.hadoop.hdfs.protocol.HdfsFileStatus,value=null])
55EED6885A168C25,75EC4CC01CC228DB,getFileInfo,3950628959906483,3950628960476633,10.107.100.57,namenode,Namenode,Success: return(OW[class=class org.apache.hadoop.hdfs.protocol.HdfsFileStatus,value=null])
55EED6885A168C25,542E56877BF36207,RPC:getFileInfo,2138359164569724,2138359567944788,10.107.100.119,client008,RPC Client,Success: return(OW[class=class org.apache.hadoop.hdfs.protocol.HdfsFileStatus,value=null])
B06C3BE0FEA9D0D5,AA922399511F3048,getFileInfo,3950628990006565,3950628990347459,10.107.100.57,namenode,Namenode,Success: return(OW[class=class org.apache.hadoop.hdfs.protocol.HdfsFileStatus,value=null])
B06C3BE0FEA9D0D5,81F69779092C27CC,RPC:getFileInfo,1652143971721017,1652144374705864,10.107.100.117,client006,RPC Client,Success: return(OW[class=class org.apache.hadoop.hdfs.protocol.HdfsFileStatus,value=null])
EEA80B660922A12B,980910297BF901A9,getFileInfo,3950629012832408,3950629013615528,10.107.100.57,namenode,Namenode,Success: return(OW[class=class org.apache.hadoop.hdfs.protocol.HdfsFileStatus,value=null])
EEA80B660922A12B,62C20A6D6039B2C4,RPC:getFileInfo,3943734277288259,3943734680837191,10.107.100.127,client016,RPC Client,Success: return(OW[class=class org.apache.hadoop.hdfs.protocol.HdfsFileStatus,value=null])
32D2DA4DB31C4A5D,7122E30BAF8A1594,getFileInfo,3950629132226736,3950629132763591,10.107.100.57,namenode,Namenode,Success: return(OW[class=class org.apache.hadoop.hdfs.protocol.HdfsFileStatus,value=null])
32D2DA4DB31C4A5D,2596BF22ED8AEED8,RPC:getFileInfo,3942215825532649,3942216228772516,10.107.100.129,client018,RPC Client,Success: return(OW[class=class org.apache.hadoop.hdfs.protocol.HdfsFileStatus,value=null])
39709E65EA17B85C,94E31546CB674BCA,mkdirs,3950629235924380,3950629238044220,10.107.100.57,namenode,Namenode,Success: return(OW[class=boolean,value=true])
39709E65EA17B85C,B12BBE1F26820F1B,RPC:mkdirs,1773982584828096,1773982988406308,10.107.100.38,client017,RPC Client,Success: return(OW[class=boolean,value=true])
39709E65EA17B85C,E222B44CE38E125C,fs -mkdir,1773982163939050,1773982988482018,10.107.100.38,client017,User,A user task
8DB775CF14417416,E75DAC9CAC63E430,mkdirs,3950629241012230,3950629242542057,10.107.100.57,namenode,Namenode,Success: return(OW[class=boolean,value=true])
8DB775CF14417416,82ACE33EF2376CDF,RPC:mkdirs,2138545997868174,2138546401055935,10.107.100.113,client002,RPC Client,Success: return(OW[class=boolean,value=true])
8DB775CF14417416,9C1C88C9F02347E0,fs -mkdir,2138545577112439,2138546401055935,10.107.100.113,client002,User,A user task
B5E041E7049D7E8E,125CF91F0C565A37,getFileInfo,3950629248065973,3950629248280967,10.107.100.57,namenode,Namenode,Success: return(OW[class=class org.apache.hadoop.hdfs.protocol.HdfsFileStatus,value=null])
FFDE4EDD5074617C,C0E853CE6EBA8EEA,getFileInfo,3950629248373176,3950629248522470,10.107.100.57,namenode,Namenode,Success: return(OW[class=class org.apache.hadoop.hdfs.protocol.HdfsFileStatus,value=null])
B5E041E7049D7E8E,501BD8018FCC0110,RPC:getFileInfo,2138354992208903,2138355395164706,10.107.100.124,client013,RPC Client,Success: return(OW[class=class org.apache.hadoop.hdfs.protocol.HdfsFileStatus,value=null])
FFDE4EDD5074617C,15A5754FB8927416,RPC:getFileInfo,3905097520103744,3905097923270990,10.107.100.123,client012,RPC Client,Success: return(OW[class=class org.apache.hadoop.hdfs.protocol.HdfsFileStatus,value=null])
