TaskID,Title,NumReports,NumEdges,FirstSeen,LastUpdated,StartTime,EndTime
EC408C791C4DD66A,fs -copyFromLocal,167,75,2013-11-03 17:29:30,2013-11-03 17:31:36,2233769368680290,2233895487885852
883D6F458CB2DBF5,fs -copyFromLocal,71,33,2013-11-03 17:29:37,2013-11-03 17:30:26,4000518930829218,4000567508341404
AE90DA459F7883E6,fs -copyFromLocal,39,19,2013-11-03 17:29:40,2013-11-03 17:30:02,4037468959768646,4037491213198562
BCC46A11F50A0575,fs -copyFromLocal,39,19,2013-11-03 17:31:01,2013-11-03 17:31:22,769750816493948,769771858753990
9C3C623E11DBA8BA,fs -copyFromLocal,199,89,2013-11-03 17:31:10,2013-11-03 17:33:40,4040376897861578,4040527070997670
E17B2D33DAB605E3,fs -copyFromLocal,263,117,2013-11-03 17:31:45,2013-11-03 17:35:26,4037765263207575,4037985949212259
76B686517B3D87E7,fs -copyFromLocal,55,26,2013-11-03 17:31:47,2013-11-03 17:32:28,1869533915177921,1869574392312013
13E7B540E8B307EB,fs -copyFromLocal,39,19,2013-11-03 17:31:56,2013-11-03 17:32:24,1747704548607917,1747732878455066
A497B75F6178C041,fs -copyFromLocal,295,131,2013-11-03 17:32:02,2013-11-03 17:36:03,4040265920982152,4040506600341197
E6F6C22CEEEA9874,fs -copyFromLocal,167,75,2013-11-03 17:32:06,2013-11-03 17:34:23,4004186566368158,4004323208302045
9F187F586300D25C,fs -copyFromLocal,151,68,2013-11-03 17:32:12,2013-11-03 17:34:11,4037621156607113,4037739970066118
1F538F1D4FE194B0,fs -copyFromLocal,247,110,2013-11-03 17:32:39,2013-11-03 17:35:43,4040566668602686,4040750553176959
F51D90C6AAACA32C,fs -copyFromLocal,279,124,2013-11-03 17:33:13,2013-11-03 17:36:50,2234215882606593,2234432879353872
0477BE9EA3390B7D,fs -copyFromLocal,55,26,2013-11-03 17:34:01,2013-11-03 17:34:38,4040020619264477,4040057749989482
A2FCF85B7C9610D1,fs -copyFromLocal,87,40,2013-11-03 17:34:40,2013-11-03 17:35:43,2234018542724684,2234081086187795
719C5117F7C59838,fs -copyFromLocal,231,103,2013-11-03 17:35:15,2013-11-03 17:39:04,4039933944262436,4040162498359593
D83802F54E19D4D8,fs -copyFromLocal,151,68,2013-11-03 17:35:17,2013-11-03 17:37:07,1869743702759615,1869853945370338
1B0B949D38DAE081,fs -copyFromLocal,295,131,2013-11-03 17:35:25,2013-11-03 17:41:38,2799296383599214,2799669723941763
6DAC2471C157E582,fs -copyFromLocal,71,33,2013-11-03 17:35:29,2013-11-03 17:36:19,2234132883759763,2234182854514892
CAAC066E68DD99AA,fs -copyFromLocal,263,117,2013-11-03 17:35:53,2013-11-03 17:39:52,4000894411405503,4001133695541405
BB592C084DF0CC3D,fs -copyFromLocal,151,68,2013-11-03 17:36:00,2013-11-03 17:38:22,2234159303064103,2234301297405879
0B620588F2AA3E08,fs -copyFromLocal,55,26,2013-11-03 17:36:02,2013-11-03 17:36:50,4037850824354797,4037898994788685
A61CA8C8CDF9041F,fs -copyFromLocal,119,54,2013-11-03 17:36:14,2013-11-03 17:38:03,854090046663500,854198601824240
EA6344F87403DCCC,fs -copyFromLocal,39,19,2013-11-03 17:36:15,2013-11-03 17:36:46,853920574986042,853951479082193
681833227143B456,fs -copyFromLocal,311,138,2013-11-03 17:36:19,2013-11-03 17:41:12,2233923289384499,2234215901121452
87C30ECA12EAD029,fs -copyFromLocal,199,89,2013-11-03 17:36:30,2013-11-03 17:38:57,1873159808665506,1873306350242348
18868D38EADFD452,fs -copyFromLocal,103,47,2013-11-03 17:36:40,2013-11-03 17:38:03,325839330975637,325922214709513
78D02C0E107EA2AB,fs -copyFromLocal,167,75,2013-11-03 17:37:04,2013-11-03 17:39:32,2234251256820749,2234400049591053
34E961BF14E65EE8,fs -copyFromLocal,295,131,2013-11-03 17:37:09,2013-11-03 17:41:20,854244677643185,854495932421848
EE195C49551F5DAE,fs -copyFromLocal,295,131,2013-11-03 17:37:13,2013-11-03 17:41:27,1748021794906553,1748275571018851
FF3CD1E288BBA1B8,fs -copyFromLocal,231,103,2013-11-03 17:37:18,2013-11-03 17:40:18,2234234137842724,2234413608022600
4DDEBD77A22EBAF7,fs -copyFromLocal,183,82,2013-11-03 17:37:54,2013-11-03 17:40:45,4040084716900922,4040255561409162
D1665C7AB226151C,fs -copyFromLocal,55,26,2013-11-03 17:38:02,2013-11-03 17:38:42,2234472368114766,2234511824533036
6BB7582CD84914A9,fs -copyFromLocal,167,75,2013-11-03 17:38:06,2013-11-03 17:40:25,2239764370908491,2239903019718749
FC5690149A4CCA28,fs -copyFromLocal,167,75,2013-11-03 17:38:34,2013-11-03 17:40:57,4004574502679795,4004717506338887
F1B0AB6B6A9849E9,fs -copyFromLocal,135,61,2013-11-03 17:38:57,2013-11-03 17:41:02,4040680704596078,4040805768649203
526E570DC91A1759,fs -copyFromLocal,311,138,2013-11-03 17:39:11,2013-11-03 17:43:42,4039729846820554,4040000659020998
02CD207150DC48A3,fs -copyFromLocal,103,47,2013-11-03 17:39:27,2013-11-03 17:41:03,4040168063319747,4040263238027131
33C928B98667CAE7,fs -copyFromLocal,263,117,2013-11-03 17:40:12,2013-11-03 17:45:19,770301910234632,770608987453105
E6F6CFF926CCA5FB,fs -copyFromLocal,103,47,2013-11-03 17:40:26,2013-11-03 17:41:47,2234363871332574,2234445267266307
D8DFA71F66F090C2,fs -copyFromLocal,215,96,2013-11-03 17:41:12,2013-11-03 17:44:02,4038331920139613,4038502237152212
283EE9FBEFC61886,fs -copyFromLocal,151,68,2013-11-03 17:41:34,2013-11-03 17:43:29,2234493273948369,2234608279322768
E35AF3FBC0C3CAD2,fs -copyFromLocal,199,89,2013-11-03 17:41:37,2013-11-03 17:44:27,4040315471835838,4040485553527278
99FA04D2F2C1663A,fs -copyFromLocal,87,40,2013-11-03 17:41:39,2013-11-03 17:42:45,854244508755162,854309935760284
BAACC60A71291880,fs -copyFromLocal,279,124,2013-11-03 17:41:54,2013-11-03 17:45:32,1873483288833028,1873701441481210
C97D89584442AEA4,fs -copyFromLocal,55,26,2013-11-03 17:42:09,2013-11-03 17:42:57,4001270862099820,4001318793457633
F9AEAF4DF8A0565B,fs -copyFromLocal,183,82,2013-11-03 17:42:18,2013-11-03 17:44:56,1870164846986463,1870323039660754
672A7AC902702BB9,fs -copyFromLocal,279,124,2013-11-03 17:42:30,2013-11-03 17:45:55,4040529663300724,4040734510978022
B0C444151069D3A7,fs -copyFromLocal,199,89,2013-11-03 17:42:54,2013-11-03 17:45:41,2234763722229067,2234930928259355
162E234C93E91F62,fs -copyFromLocal,215,96,2013-11-03 17:43:28,2013-11-03 17:46:36,4038297106885904,4038484486926361
77FF8BD5A41E3172,fs -copyFromLocal,71,33,2013-11-03 17:43:32,2013-11-03 17:44:40,4041118972330449,4041186536157592
6B455A89DCAA6F86,fs -copyFromLocal,71,33,2013-11-03 17:43:41,2013-11-03 17:44:36,4001362907301255,4001418132979975
F2EFFD23174D1F91,fs -copyFromLocal,103,47,2013-11-03 17:43:50,2013-11-03 17:45:00,4040430343843897,4040500796457757
44FD80AAD9553264,fs -copyFromLocal,135,61,2013-11-03 17:44:17,2013-11-03 17:46:01,2234684945571949,2234788503813699
