OpName,Num,MaxDelay,MinDelay,AverageDelay
nextBlockOutputStream,514,1056876431,228128392,340071782.265044
OP: new BlockReceiver,1542,976114467,117594,93494411.5015368
getFileInfo,57,5204420,392608,1145977.08187138
addBlock,514,1039983,295991,552590.945752263
RPC:getFileInfo,57,29288295,20397703,22240771.0058474
createBlockOutputStream,514,1036242906,198510978,293417993.3226
OP: connect next Datanode,1028,975386433,76445624,155262515.168295
RPC:addBlock,514,65769937,19873108,33490775.9355055
RPC:create,57,32992009,20849042,22352636.1988304
create,57,5924880,1561969,2438439.8128655
OP: send block,514,57328615734,15426799021,21625533269.1489
writeBlock,1542,57686341523,15653099724,21879932959.7873
receiveBlock,1542,57497567124,15409268287,21640282440.9152
complete,57,14105660,1181473,2227142.05263156
RPC:complete,57,55895537,20579518,35487097.3333334
