OpName,Num,MaxDelay,MinDelay,AverageDelay
chooseDataNode,3940,9253416565,0,61872304.8217078
getBlockLocations,547,28899338,46549,465525.239183431
OP: try new BlockReader,3893,1552929492,167341,17839521.5819006
RPC:getBlockLocations,546,61680531,1618516,9787467.99175869
getFileInfo,1352,2729688,0,267796.13424032
newBlockReader,3157,1541053074,2040940,11434347.3291865
bestNode,4009,2730004,0,23865.7146315725
RPC:getFileInfo,1352,30935749,666648,5134029.69149009
blockSeekTo,3203,11581865032,0,98009762.0249476
OP: new blockSender,3157,575370997,0,949983.614253468
readBlock,3158,29770115970,383601733,1565895785.71635
checksumOk,3158,5410644,0,346418.611629255
sendBlock,3158,29768311241,376992850,1522153214.10577
verifiedByClient,2950,1338058594,0,881164.20233823
OP: receive block,3158,29767949632,381391697,1557178235.77942
