OpName,Num,MaxDelay,MinDelay,AverageDelay
nextBlockOutputStream,215,513338558,17399316,67323958.6302323
getFileInfo,82,5756260,0,795073.982520309
writeBlock,624,9795767409,1047693,1930836231.40037
abandonBlock,326,1220817,0,177784.036673483
addBlock,473,6336404,0,461556.388581906
RPC:getFileInfo,82,8826027,2087387,3760005.12520337
createBlockOutputStream,473,508107573,300642,25579732.5137843
OP: connect next Datanode,477,466185982,208334,13947899.0620244
RPC:abandonBlock,326,14992804,774747,1720787.87330312
RPC:addBlock,473,21976984,1343967,3338705.03162809
RPC:create,82,34517839,2692300,4524687.18699187
create,82,33412370,1351460,3054264.29674799
OP: new BlockReceiver,487,467188528,174129,15315699.5992862
OP: send block,147,9721581630,680409710,2670356736.33731
receiveBlock,441,9741461474,686769699,2671512764.14866
RPC:complete,14,8992492,2118679,4059938
complete,14,6481430,1191301,2510959.92857143
