OpName,Num,MaxDelay,MinDelay,AverageDelay
chooseDataNode,781,9054614254,0,540212435.216616
getBlockLocations,187,6009034,187927,771755.16532977
RPC:getBlockLocations,187,59863812,2150233,6950697.67959001
getFileInfo,248,1615801,0,447395.041397849
bestNode,901,267901,0,20943.0006051474
RPC:getFileInfo,248,16401892,872749,3015698.36536098
readBlock,324,3703863573,401807957,821749707.682045
sendBlock,324,3666520148,395876653,798389342.062709
newBlockReader,324,77931929,3609998,8815649.96810687
blockSeekTo,404,729758339233,123176,65458306571.3703
OP: new blockSender,324,10186679,0,777098.236111116
OP: receive block,324,3686205610,399923249,814967242.143417
OP: try new BlockReader,701,60097027356,4316242,34823303315.2142
checksumOk,324,835057,0,325134.107870373
verifiedByClient,324,2239032,0,228479.567489711
