OpName,Num,MaxDelay,MinDelay,AverageDelay
getFileInfo,43,6433404,398924,1316745.77209306
addBlock,576,170183025,0,1493894.90182292
RPC:getFileInfo,43,14382736,2445763,4820683.43837208
RPC:addBlock,576,182170272,1462350,4562589.2067708
RPC:create,43,127502684,2918639,8895985.98255814
create,43,126072227,1780839,7011907.02325581
nextBlockOutputStream,418,264325909476,17735497,26017841917.8292
OP: new BlockReceiver,1285,63112812170,0,2501810836.5321
createBlockOutputStream,576,69135973589,14740785,21955331770.6896
OP: connect next Datanode,963,66108841202,4039236,10497882168.2422
OP: send block,416,23546310950,652032388,4088568041.50765
writeBlock,1379,66111065377,658871192,10208040813.3319
receiveBlock,1248,23561769414,651194741,4202039022.02972
abandonBlock,160,964206,89613,287411.878645835
RPC:abandonBlock,160,27200285,1014717,3725950.746875
complete,41,506210758,1246743,21845570.0731706
RPC:complete,41,522941320,2146688,24457539.105691
