OpName,Num,MaxDelay,MinDelay,AverageDelay
chooseDataNode,2765,8681098,72519,274150.652761004
getBlockLocations,371,4464193,77508,400956.028571431
OP: try new BlockReader,2766,60105721205,921275,2775854981.75584
RPC:getBlockLocations,371,54797616,1537839,8926905.74101525
getFileInfo,1044,5168430,0,259859.424413692
newBlockReader,2595,309883181,2228072,9244162.82862506
bestNode,2765,4992543,0,25085.6051673204
RPC:getFileInfo,1044,28644740,560687,4676510.13686723
blockSeekTo,2595,120095788292,4349029,2696098333.84418
OP: new blockSender,2595,227668197,0,737056.679814621
readBlock,2594,22432384061,377486694,1388605731.52375
checksumOk,2595,7649665,0,323996.227888227
sendBlock,2595,22425745070,371804872,1346692413.47149
verifiedByClient,2495,29550766,0,156134.466622754
OP: receive block,2595,22425860034,375528876,1381451124.29609
