OpName,Num,MaxDelay,MinDelay,AverageDelay
nextBlockOutputStream,594,111974228191,16041302,4364867123.02497
OP: new BlockReceiver,1802,63086481290,389865,337851910.188781
getFileInfo,64,5392691,404182,1110494.14036457
addBlock,665,322180773,19386,1722663.31958228
RPC:getFileInfo,64,14418913,2362439,5190641.05911453
createBlockOutputStream,665,69104629456,1799409,4926227822.55721
OP: connect next Datanode,1261,66078718567,1118545,2147480125.10428
RPC:addBlock,665,342006163,1378683,4687705.68205928
RPC:create,64,231260546,2733025,12500949.8789064
create,64,223159441,1496100,10138491.4218751
OP: send block,594,17679318838,625251693,3099443767.81352
writeBlock,1855,66080786183,1956534,4252081285.60291
receiveBlock,1782,17690235038,629249964,3139735695.6922
abandonBlock,71,772746,61163,265462.388106416
RPC:abandonBlock,71,48220228,798190,3899053.52230048
RPC:complete,64,171229700,2012091,7739221.6354166
complete,64,168229575,1267530,5759602.484375
