OpName,Num,MaxDelay,MinDelay,AverageDelay
chooseDataNode,3498,6405747,113456,273287.645521031
getBlockLocations,485,1336379616,127958,3135236.57886592
OP: try new BlockReader,3496,3259514030,3546385,113941970.516681
RPC:getBlockLocations,485,1352796070,1720283,13385848.4118548
getFileInfo,1260,5514566,0,260024.891508715
newBlockReader,3386,529559332,1917779,9940628.37940356
bestNode,3498,5808397,0,24820.026140756
RPC:getFileInfo,1259,263912210,622955,5851038.45011523
blockSeekTo,3386,6021576590,3892972,112326678.246628
OP: new blockSender,3388,21617946,0,724571.630252234
readBlock,3388,39257137003,372602455,1927394376.69571
checksumOk,3388,5630263,0,341581.137610248
sendBlock,3388,39221205684,367459031,1889339977.33919
verifiedByClient,3255,49518537,0,145170.750492456
OP: receive block,3386,39249244417,370615963,1916489282.16989
