OpName,Num,MaxDelay,MinDelay,AverageDelay
nextBlockOutputStream,733,6117742892,16639564,422836272.883877
OP: new BlockReceiver,2224,3031151203,97260,62036071.278754
getFileInfo,71,5345243,396490,1073608.620892
addBlock,822,22856645,0,562101.744099749
RPC:getFileInfo,71,18656804,2430364,5139878.4960094
createBlockOutputStream,822,3688907564,14398891,427896749.676324
OP: connect next Datanode,1548,3678591177,3739549,209509804.380204
RPC:addBlock,822,26860290,1263132,3463007.53669911
RPC:create,71,405385334,2363923,21080802.4366197
create,71,404176286,1357930,18876280.4694835
OP: send block,733,12733295316,616632974,3220590132.86479
writeBlock,2281,13910212664,628377546,3265805942.07453
receiveBlock,2199,13880910579,622150755,3249656111.3792
abandonBlock,89,859385,0,277377.794007488
RPC:abandonBlock,89,13313394,882490,3013947.80898874
RPC:complete,71,284126155,1457818,15198741.9483568
complete,71,274618642,1083017,13512699.657277
