OpName,Num,MaxDelay,MinDelay,AverageDelay
nextBlockOutputStream,644,1570517655,17764962,52905177.4322717
OP: new BlockReceiver,1932,1555756225,75325,14329732.8398574
getFileInfo,66,10108739,417514,1157017.8462121
addBlock,645,8079303,184411,547627.979379847
RPC:getFileInfo,66,13888302,2443715,5236327.58181808
createBlockOutputStream,645,1567291811,15594658,48671979.596021
OP: connect next Datanode,1289,416983078,3659151,18559969.1894381
RPC:addBlock,645,22735802,1282777,3611914.13330741
RPC:create,66,253642899,2552240,15491710.4848485
create,66,251070387,1361754,13135348.3333334
OP: send block,644,38718734175,664083462,3915188539.2487
writeBlock,1934,38755186868,99806926,3995199333.51851
receiveBlock,1932,38733186319,662352509,3970371333.53352
complete,66,436078993,1180770,17886974.9040404
RPC:complete,66,442454796,1793963,20190517.1515153
RPC:errorReport,1,2566514,2566514,2566514
errorReport,1,1155309,1155309,1155309
abandonBlock,1,33214,33214,33214
RPC:abandonBlock,1,1524754,1524754,1524754
