OpName,Num,MaxDelay,MinDelay,AverageDelay
getFileInfo,9849,640008741,0,297399.16068801
mkdirs,605,588848821,1021850,11987667.9749738
RPC:getFileInfo,9849,643470757,58734,5357289.70907023
RPC:mkdirs,605,589792405,1745131,15714886.7728395
addBlock,6449,981192528,0,1611271.25405604
RPC:addBlock,6449,982922651,985818,7505649.51922029
RPC:create,585,948163669,1604446,24415987.9897437
create,585,945235420,995312,18893232.3806263
nextBlockOutputStream,6093,66382659571,14829954,437209299.97324
OP: new BlockReceiver,18392,63012796749,0,92469266.6859929
OP: send block,6090,117256829807,524801985,6883188280.70481
createBlockOutputStream,6456,66079937066,1426007,441456863.673835
OP: connect next Datanode,12522,66035877769,1243499,237006215.875899
writeBlock,18627,273831310335,2343678,7049139344.56889
receiveBlock,18276,273767829201,605577,6991892013.67419
complete,583,666880242,817524,13573683.5608917
RPC:complete,583,679511704,1504016,17281177.8010289
rename,579,1051204233,1003690,22020312.5981574
RPC:rename,579,1052807463,1747559,25374355.947035
setPermission,579,610874792,983280,15793931.64882
RPC:setPermission,579,619655817,1969675,19583116.1623494
setOwner,579,6281095062,859000,28651636.5008636
RPC:setOwner,579,6283138437,1844999,32357744.9050088
getListing,579,3976693,0,184811.71905584
RPC:getListing,579,61754819,1009852,4355182.24928039
RPC:getContentSummary,579,54533804,1634290,4978267.9965458
getContentSummary,579,5112066,41161,435875.578008056
getBlockLocations,868,7540342,0,280662.702764977
RPC:getBlockLocations,868,223186566,1276809,9609357.47926338
sendBlock,5954,24205944489,167771465,1306551220.48313
newBlockReader,6014,1644149284,1844184,11581192.3323588
blockSeekTo,5957,18251012022,194777,65528777.3590123
OP: new blockSender,6015,1289175137,0,2161748.74148177
OP: receive block,5984,24445218504,179257049,1343156681.51595
chooseDataNode,6038,3521239599,0,4742621.05541394
OP: try new BlockReader,6034,18240468173,3874062,68234080.1319429
checksumOk,5944,9866659,0,344398.558770514
bestNode,6045,4178453,0,23066.3801841358
readBlock,6015,24482569750,735470,1359298396.06226
verifiedByClient,5701,10220495807,0,12724022.690254
RPC:delete,1151,1836353047,1576593,22476569.3844343
delete,1151,1835430472,862905,18568601.7829862
abandonBlock,356,62992845,36448,560301.80805243
RPC:abandonBlock,356,65650060,701171,3647431.61797753
RPC:getProtocolVersion,13,2262295715,1999569,296564664.948718
commitBlockSynchronization,7,604971,211223,319506.428571429
getProtocolVersion,13,205363992,109141,35494023.9743588
RPC:updateBlock,4,4054818,2570708,3423947.25
startBlockRecovery,4,452757755,670254,198781331
RPC:startBlockRecovery,4,454604615,2252686,200582973.75
nextGenerationStamp,7,808759,99768,397305.857142857
RPC:nextGenerationStamp,7,2785422,988529,1667675.57142857
updateBlock,4,1965987,597914,1260730.75
RPC:commitBlockSynchronization,7,1793884,974902,1363574.85714286
recoverBlock,7,706176168,3451699,282840230.428571
RPC:recoverBlock,7,708382272,4781633,299492068.666667
RPC:getBlockInfo,2,1832088,1381504,1606796
getBlockInfo,2,434675,382985,408830
