TaskID,TID,OpName,StartTime,EndTime,HostAddress,HostName,Agent,Description
709BD5E010E93066,C2FDC6C2FE7A8183,getFileInfo,161723454167107,161723454627014,10.107.131.195,namenode,Namenode,Success: return(OW[class=class org.apache.hadoop.hdfs.protocol.HdfsFileStatus,value=null])
709BD5E010E93066,713D81CB785E77F3,RPC:getFileInfo,10048744114442,10048746162886,10.107.135.107,client014,RPC Client,Success: return(OW[class=class org.apache.hadoop.hdfs.protocol.HdfsFileStatus,value=null])
709BD5E010E93066,EABDEAE8A5B61BAD,mkdirs,161723467697255,161723470068487,10.107.131.195,namenode,Namenode,Success: return(OW[class=boolean,value=true])
709BD5E010E93066,713D81CB785E77F3,RPC:mkdirs,10048757251631,10048761025353,10.107.135.107,client014,RPC Client,Success: return(OW[class=boolean,value=true])
709BD5E010E93066,622D1F48FCC2DBB9,fs -mkdir,10048739202779,10048761056937,10.107.135.107,client014,User: fs -mkdir dir_client014_16909,A user task
BD375C2E24A00E5F,740BC427285DEA91,getFileInfo,161723517307561,161723518646176,10.107.131.195,namenode,Namenode,Success: return(OW[class=class org.apache.hadoop.hdfs.protocol.HdfsFileStatus,value=null])
0B3BFB7B85008051,6D5A620AECD1301B,getFileInfo,161723518764722,161723520247937,10.107.131.195,namenode,Namenode,Success: return(OW[class=class org.apache.hadoop.hdfs.protocol.HdfsFileStatus,value=null])
BD375C2E24A00E5F,56F25CC58849ADDC,RPC:getFileInfo,12596084131636,12596087651611,10.107.133.146,client012,RPC Client,Success: return(OW[class=class org.apache.hadoop.hdfs.protocol.HdfsFileStatus,value=null])
0B3BFB7B85008051,D238E6478A080D40,RPC:getFileInfo,11946281128917,11946285670804,10.107.132.46,client030,RPC Client,Success: return(OW[class=class org.apache.hadoop.hdfs.protocol.HdfsFileStatus,value=null])
BD375C2E24A00E5F,00D609B74C10D630,mkdirs,161723532995711,161723534502129,10.107.131.195,namenode,Namenode,Success: return(OW[class=boolean,value=true])
BD375C2E24A00E5F,56F25CC58849ADDC,RPC:mkdirs,12596099867901,12596102355884,10.107.133.146,client012,RPC Client,Success: return(OW[class=boolean,value=true])
BD375C2E24A00E5F,E6AB993D73434DC4,fs -mkdir,12596077855390,12596102386297,10.107.133.146,client012,User: fs -mkdir dir_client012_27823,A user task
0B3BFB7B85008051,BE9010F9E4DBC1DD,mkdirs,161723533884039,161723535056243,10.107.131.195,namenode,Namenode,Success: return(OW[class=boolean,value=true])
0B3BFB7B85008051,D238E6478A080D40,RPC:mkdirs,11946297055505,11946299117950,10.107.132.46,client030,RPC Client,Success: return(OW[class=boolean,value=true])
0B3BFB7B85008051,6E0C7075B754BADF,fs -mkdir,11946276499367,11946299149834,10.107.132.46,client030,User: fs -mkdir dir_client030_4504,A user task
9789212D987B6D56,AFE8C39D775D1AA7,getFileInfo,161726464301685,161726465322114,10.107.131.195,namenode,Namenode,Success: return(OW[class=class org.apache.hadoop.hdfs.protocol.HdfsFileStatus,value=null])
2C75ADBFB5BEC227,975DD2CB8B7D4F83,getFileInfo,161726469435382,161726470326503,10.107.131.195,namenode,Namenode,Success: return(OW[class=class org.apache.hadoop.hdfs.protocol.HdfsFileStatus,value=null])
9789212D987B6D56,A860C0E2FA1F9066,RPC:getFileInfo,12657181111468,12657184077823,10.107.134.140,client010,RPC Client,Success: return(OW[class=class org.apache.hadoop.hdfs.protocol.HdfsFileStatus,value=null])
9789212D987B6D56,944E46C73370A465,mkdirs,161726479352162,161726481518613,10.107.131.195,namenode,Namenode,Success: return(OW[class=boolean,value=true])
