OpName,Num,MaxDelay,MinDelay,AverageDelay
getFileInfo,2156,9532495,64378,268737.587349558
mkdirs,160,1012804096,740919,32332695.2543006
RPC:getFileInfo,2156,220596452,528943,2540087.44536281
RPC:mkdirs,160,1014142989,1201397,33411891.41311
nextBlockOutputStream,351,5857245437,16498490,116274026.20679
OP: new BlockReceiver,1053,5846452152,319574,42263540.0350062
addBlock,351,774874917,268986,6668243.64957262
createBlockOutputStream,351,5854393520,14619713,103602604.928299
OP: connect next Datanode,702,5845417265,3231332,40042864.9194444
RPC:addBlock,351,776390336,1128410,12155654.8105414
RPC:create,139,1501875411,1696261,62734896.6930456
create,139,1500378050,930279,60995663.3261392
OP: send block,351,9413179012,2721790321,3306813406.26568
complete,140,1122503039,148296,32384478.7690477
writeBlock,1053,9478656526,2745960168,3392577857.54683
RPC:complete,140,1124117754,1163583,39031166.1642856
receiveBlock,1053,9459879444,2731989723,3340553111.41647
rename,118,1043326552,902938,50552296.5141242
RPC:rename,118,1045066455,1549760,51911584.4548021
setPermission,152,1642675308,696382,64456641.299342
RPC:setPermission,152,1643810483,1336213,65875181.7922149
setOwner,118,1900960152,799730,44172434.0367228
RPC:setOwner,118,1902988357,1594953,45514424.7288137
getListing,172,9424932,75756,631765.581782955
RPC:getListing,172,53080302,971155,7535700.6047481
getContentSummary,117,1517937,240133,723285.25925926
RPC:getContentSummary,117,4828814,1342145,2613169.62962963
getBlockLocations,114,1499646,123740,409439.576023393
RPC:getBlockLocations,114,12593520,2426229,4046264.93567252
newBlockReader,328,426294532,1144849,10070098.9781502
blockSeekTo,328,428865011,3634989,13301041.2334855
OP: new blockSender,328,419357789,288640,2614472.4148882
chooseDataNode,328,3669693,132007,355189.639735769
OP: try new BlockReader,328,428268366,3202547,12410006.7985268
bestNode,328,162167,10794,29792.1572662603
readBlock,328,5879559115,2647169086,2838615859.43086
sendBlock,328,5827015728,2548154935,2720258071.58284
OP: receive block,328,5869263014,2644729401,2828275540.60519
checksumOk,328,5401350,164159,518548.535060977
verifiedByClient,321,739971635,30549,3665395.56126687
RPC:delete,262,1237424559,1215005,50547361.260814
delete,262,1236243588,731542,49537906.0737914
