OpName,Num,MaxDelay,MinDelay,AverageDelay
getFileInfo,4049,14464962,0,237504.527283933
mkdirs,264,1031691215,984509,17233993.8905994
RPC:getFileInfo,4049,210751210,326256,4188649.26763658
RPC:mkdirs,264,1046980517,1782373,20350349.5830074
nextBlockOutputStream,2521,24532322882,15254123,136520064.691766
OP: new BlockReceiver,7564,24190809547,0,53115441.8098407
addBlock,2526,628421052,0,1135860.59695832
createBlockOutputStream,2526,24247732004,13064231,129088089.56921
OP: connect next Datanode,5045,24189820898,3454141,58485453.0924898
RPC:addBlock,2526,633210617,1094850,4665866.9342109
RPC:create,246,284459054,2055840,10943744.4065044
create,246,278137253,1140542,8011808.81571811
OP: send block,2521,107449170033,609014335,5532957396.4113
writeBlock,7564,107471901667,621160745,5698526937.49493
receiveBlock,7561,107430770523,616992912,5630196336.80241
RPC:complete,247,553593734,1657894,13413486.6383265
complete,247,538289659,903076,11113787.174089
rename,237,451606086,1041206,10985162.7313646
RPC:rename,237,454068441,1771298,13530913.4486636
RPC:setPermission,237,708216915,2099460,19169300.6371309
setPermission,237,706838136,829718,16472302.3544309
setOwner,237,551622851,847541,12901138.6708864
RPC:setOwner,237,552964628,1801167,16708538.4374126
getListing,237,1546137,0,187536.917018281
RPC:getListing,237,28368743,1283329,3313109.76933891
getContentSummary,237,1835609,60067,454375.869198308
RPC:getContentSummary,237,21627662,1773795,4040764.26582275
getBlockLocations,359,5105249,0,315276.781801295
RPC:getBlockLocations,359,218431185,1144046,8296284.55988861
readBlock,2495,28038754892,754849,1256844077.99113
sendBlock,2390,26954602992,25576868,1216788402.90413
newBlockReader,2496,18223196623,2677819,42464240.019944
blockSeekTo,2394,18251187010,138688,76284824.1007669
OP: new blockSender,2496,6063441688,0,5403815.90867863
OP: receive block,2474,28033816713,20982088,1240473626.75404
chooseDataNode,2502,5517036689,19091,11506399.0802196
OP: try new BlockReader,2498,18250710094,3687735,61802721.3379202
checksumOk,2353,6179631,0,340939.139402572
verifiedByClient,2253,25046666444,0,40530243.5761788
bestNode,2508,495212,0,22236.6846272879
RPC:delete,468,910688051,1597802,21436728.0350427
delete,468,903026712,789598,18679109.4459398
RPC:reportBadBlocks,8,5181362,1473319,2883266.29166667
reportBadBlocks,8,1816912,201682,640776.416666667
abandonBlock,5,444751,206507,300235.4
RPC:abandonBlock,5,2303660,1148664,1579861.4
