OpName,Num,MaxDelay,MinDelay,AverageDelay
getFileInfo,3629,11270910,0,217194.637437384
mkdirs,239,650486590,1090281,16766942.3652541
RPC:getFileInfo,3629,211983807,91741,6863746.10705368
RPC:mkdirs,239,651664317,1751313,22155601.0378929
nextBlockOutputStream,2202,36153838162,16065657,332280692.10372
OP: new BlockReceiver,6635,18021529051,201049,75425852.4252542
addBlock,2290,1172342519,51104,2585002.22312943
createBlockOutputStream,2290,18045221498,13600658,342218054.491367
OP: connect next Datanode,4493,18020607579,3469985,187385573.594733
RPC:addBlock,2290,1180500013,1098160,9789203.10675445
RPC:create,219,528779089,2228061,25940330.0563166
create,219,526062085,1209970,17747855.8264844
OP: send block,2202,97130826097,655565132,8207474023.51183
writeBlock,6695,97158544849,664882022,8347639737.82938
receiveBlock,6606,97137545725,655319084,8307812287.68596
complete,219,450818540,1041144,9306749.60121768
RPC:complete,219,452920668,1699691,14799488.6620999
setPermission,213,1032743678,1010059,22045506.5242565
rename,213,1023978021,1088738,16333846.7840374
RPC:rename,213,1025189367,1926578,21542834.2989046
RPC:setPermission,213,1045515945,1906647,25997037.9483573
setOwner,213,4266875570,724564,54291589.0798119
RPC:setOwner,213,4274197424,1913194,59359078.7276998
getListing,213,2075976,0,189519.666666663
RPC:getListing,213,142464890,1259828,6234708.74021908
RPC:getContentSummary,213,39950573,1871367,5776813.56964005
getContentSummary,213,956694,215028,444212.15492958
chooseDataNode,2096,15011760,0,286367.054407487
getBlockLocations,310,825369202,0,3796573.59139786
OP: try new BlockReader,2095,18449334284,3811613,79564669.1801521
RPC:getBlockLocations,310,848664344,1245242,14928913.327957
newBlockReader,2089,1481185476,1699304,14421560.7892363
bestNode,2096,558850,0,23002.291813204
blockSeekTo,2089,22216704066,4469542,72695716.995547
OP: new blockSender,2090,1475362985,0,3000964.02482013
readBlock,2090,16034188664,388038707,1444449943.1603
checksumOk,2090,7081587,0,341331.331561854
sendBlock,2090,15885512945,380015304,1383039122.03576
verifiedByClient,2001,2616905284,0,7591281.63487189
OP: receive block,2090,15997957811,385812335,1413824003.6609
RPC:delete,418,2858057402,1437701,34788319.1534283
delete,418,2833469567,814371,28999932.9312202
abandonBlock,88,886555,0,242785.090909092
RPC:abandonBlock,88,34478029,927105,3816239.4848485
