OpName,Num,MaxDelay,MinDelay,AverageDelay
getFileInfo,3896,9365116,0,221588.206742812
mkdirs,255,1699056935,1162063,15228547.3125451
RPC:getFileInfo,3896,215583954,520893,4199596.03894165
RPC:mkdirs,254,1700247704,1979528,17866161.926594
nextBlockOutputStream,2281,126772200393,15872798,1221909196.58889
OP: new BlockReceiver,6961,63611378994,0,293402498.825976
addBlock,2424,1613136375,61926,2589327.3407178
createBlockOutputStream,2424,69078789279,1030513,1260217637.69192
OP: connect next Datanode,4747,66079215915,501250,728421791.336551
RPC:addBlock,2424,1646304232,952492,6370843.24956081
RPC:create,231,488125600,2304862,19619624.497835
create,231,476247490,1341308,16649707.9278499
OP: send block,2281,64998918269,633879488,4738679785.16461
writeBlock,7062,68162937192,1494215,5119425899.77865
receiveBlock,6871,65007369984,602291,4761294450.0109
complete,232,1091947481,975997,21475823.2442524
RPC:complete,232,1113542573,1741253,24223147.352011
rename,230,519039443,1088905,15857523.7927536
RPC:rename,230,523822340,1878700,18349922.2797101
setPermission,230,770236220,1056051,16551265.2478258
RPC:setPermission,230,773630327,1985411,19625324.7130433
setOwner,230,567275987,903227,17519666.6884058
RPC:setOwner,230,569561509,1974084,20624964.0202901
getListing,230,894197,0,184961.769565219
RPC:getListing,230,83818083,1047079,4246809.50869566
RPC:getContentSummary,230,24587105,1590474,4094085.06956524
getContentSummary,230,1068957,262866,428096.90289855
getBlockLocations,330,1533155,56365,296091.856565655
RPC:getBlockLocations,330,29476846,1587079,7498572.65555552
chooseDataNode,2241,5169609,33193,272738.059065901
bestNode,2241,598081,0,21602.6464004161
newBlockReader,2236,6305837999,1625487,15759311.720415
blockSeekTo,2236,120135389957,4077354,87290444.547748
OP: new blockSender,2239,6296039623,0,7030233.71165676
OP: try new BlockReader,2241,60100955815,1792065,115290784.89313
readBlock,2239,20255102122,916604,1256688850.90824
sendBlock,2236,14152608761,387171770,1199010532.41117
OP: receive block,2236,20253470023,390283548,1230858283.83338
checksumOk,2236,14553554,0,351731.513006829
verifiedByClient,2144,1608883783,0,6746406.46441173
RPC:delete,450,1821463930,1634479,34782391.4822584
delete,450,1818352187,874953,31333195.3305555
abandonBlock,143,899615,85019,216807.124708621
RPC:abandonBlock,143,29704799,790348,3673989.98135199
