OpName,Num,MaxDelay,MinDelay,AverageDelay
getFileInfo,4057,102976201,0,252242.8502325
mkdirs,264,635742967,851712,10303381.1649968
RPC:getFileInfo,4058,218841579,503372,3853891.61133806
RPC:mkdirs,264,636954482,1742052,12727957.5689146
nextBlockOutputStream,2296,132224034422,15249319,1098772131.7676
OP: new BlockReceiver,6939,63085652677,0,135476573.203132
addBlock,2436,162802167,0,568608.312766818
createBlockOutputStream,2438,69103044923,893880,1176383288.76654
OP: connect next Datanode,4733,66071820414,1971322,536972161.875663
RPC:addBlock,2436,169571466,1011597,3814152.66986179
RPC:create,245,1365813173,1959270,20066121.8612246
create,245,1358276502,1130875,17470266.6448977
OP: send block,2295,58820699210,652455872,4397697638.13555
complete,244,608051767,1028159,18691412.4617484
writeBlock,7035,342356036662,2877084,4794282925.91248
RPC:complete,244,612360577,1743866,21052277.0874319
receiveBlock,6889,342349324393,701139,4542052112.32213
rename,239,681353944,1087584,12712514.910739
RPC:rename,239,697146962,1920569,15128207.2189679
setPermission,239,1867860879,884749,18606528.1311015
RPC:setPermission,239,1870324662,2014354,21111496.6666668
getListing,239,6887484,17978,218358.103207817
setOwner,239,684114735,731855,18088343.972106
RPC:getListing,239,19820798,1253791,3113784.09762899
RPC:setOwner,239,690111742,1713338,20886811.7364018
RPC:getContentSummary,239,26160374,1640556,3784555.5690377
getContentSummary,239,3940235,0,459625.345885631
getBlockLocations,344,4406246,9763,290965.196705421
RPC:getBlockLocations,344,41319326,1471433,6758178.5697674
chooseDataNode,2205,6136634,58511,279281.742698414
bestNode,2205,4392238,0,23929.3281481485
newBlockReader,2193,5114087226,3045331,12565711.4625398
blockSeekTo,2193,60369568981,4432663,146936592.70467
OP: new blockSender,2193,1138880754,0,1351036.26909867
OP: try new BlockReader,2205,60335611529,4038607,169463231.866075
readBlock,2193,10394772059,378728342,1172490892.47833
sendBlock,2193,10129844808,372237108,1110461012.35014
OP: receive block,2193,10132820288,376391344,1138241754.40205
checksumOk,2193,15067937,0,360377.415815459
verifiedByClient,2112,7160163234,0,17747435.4455807
RPC:delete,468,516829278,1274578,15346981.0327637
delete,468,515709842,856314,12939742.3404562
abandonBlock,140,948480,98284,243807.19285714
RPC:abandonBlock,140,14708258,819866,2521627.22380952
RPC:errorReport,2,8162067,2673261,5417664
errorReport,2,1180525,973428,1076976.5
RPC:getProtocolVersion,3,74206217,2584272,38461956.3333333
getProtocolVersion,3,2534446,500983,1801422.66666667
commitBlockSynchronization,2,423851,367368,395609.5
RPC:updateBlock,1,2295678,2295678,2295678
startBlockRecovery,1,10012286,10012286,10012286
RPC:startBlockRecovery,1,11205566,11205566,11205566
nextGenerationStamp,2,636403,478361,557382
RPC:nextGenerationStamp,2,1845862,1693448,1769655
updateBlock,1,1015070,1015070,1015070
RPC:commitBlockSynchronization,2,1662619,1550852,1606735.5
recoverBlock,2,82668827,18474376,50571601.5
RPC:recoverBlock,2,84892383,19934533,52413458
