OpName,Num,MaxDelay,MinDelay,AverageDelay
getBlockLocations,304,5472580,0,465094.054824558
RPC:getBlockLocations,304,48190532,1549933,8110528.19407892
readBlock,2041,7903429181,388541249,857686326.729506
getFileInfo,844,10532656,0,520720.91385409
sendBlock,2041,7873968698,381713952,830604051.220267
newBlockReader,2041,2279267431,3423633,12130242.4951153
blockSeekTo,2041,2285584747,4491798,20897777.0403194
OP: new blockSender,2041,27710992,0,789399.748030856
OP: receive block,2041,7876591647,386403539,848790689.933841
chooseDataNode,2041,5975156,0,271010.374847771
OP: try new BlockReader,2041,2284425107,4022071,19845133.0363814
checksumOk,2041,16065209,0,349199.161439298
verifiedByClient,1938,17317852,0,173057.25365742
RPC:getFileInfo,844,18872991,229323,2873501.91949333
bestNode,2041,726095,0,22156.6184643382
