TaskID,TID,OpName,StartTime,EndTime,HostAddress,HostName,Agent,Description
20936C216296C231,C985E4D83C1153A9,getFileInfo,3549108048394173,3549108049780541,10.107.100.57,namenode,Namenode,Success: return(OW[class=class org.apache.hadoop.hdfs.protocol.HdfsFileStatus,value=null])
20936C216296C231,2139E726E78B874E,RPC:getFileInfo,1737057223155225,1737057232272574,10.107.100.112,client001,RPC Client,Success: return(OW[class=class org.apache.hadoop.hdfs.protocol.HdfsFileStatus,value=null])
20936C216296C231,E00A8FCEF3C616BE,mkdirs,3549108060978106,3549108074002012,10.107.100.57,namenode,Namenode,Success: return(OW[class=boolean,value=true])
20936C216296C231,2139E726E78B874E,RPC:mkdirs,1737057236757698,1737057251044165,10.107.100.112,client001,RPC Client,Success: return(OW[class=boolean,value=true])
20936C216296C231,B5843DF368F68A3B,fs -mkdir,1737057220586896,1737057251094337,10.107.100.112,client001,User,A user task
64F80970916A1AB5,E95A6273192BF835,getFileInfo,3549108088972106,3549108088972106,10.107.100.57,namenode,Namenode,Success: return(OW[class=class org.apache.hadoop.hdfs.protocol.HdfsFileStatus,value=null])
64F80970916A1AB5,FC86136CE245742B,RPC:getFileInfo,1736862261243544,1736862263774926,10.107.100.115,client004,RPC Client,Success: return(OW[class=class org.apache.hadoop.hdfs.protocol.HdfsFileStatus,value=null])
64F80970916A1AB5,AC87A8A5F2FE4E33,mkdirs,3549108100224163,3549108102549028,10.107.100.57,namenode,Namenode,Success: return(OW[class=boolean,value=true])
64F80970916A1AB5,FC86136CE245742B,RPC:mkdirs,1736862272906242,1736862275602136,10.107.100.115,client004,RPC Client,Success: return(OW[class=boolean,value=true])
64F80970916A1AB5,4ACC8A2454C2B351,fs -mkdir,1736862252155236,1736862275608084,10.107.100.115,client004,User,A user task
AA25B674DDFA30D1,A18D526C313CEFE3,getFileInfo,3549108148772245,3549108149137520,10.107.100.57,namenode,Namenode,Success: return(OW[class=class org.apache.hadoop.hdfs.protocol.HdfsFileStatus,value=null])
29801F1EAC5AF995,7A71D91C2D47DCA9,getFileInfo,3549108151561357,3549108151920531,10.107.100.57,namenode,Namenode,Success: return(OW[class=class org.apache.hadoop.hdfs.protocol.HdfsFileStatus,value=null])
AA25B674DDFA30D1,C35617B8A274D77F,RPC:getFileInfo,1737024697802832,1737024700237158,10.107.100.113,client002,RPC Client,Success: return(OW[class=class org.apache.hadoop.hdfs.protocol.HdfsFileStatus,value=null])
29801F1EAC5AF995,B62D44B1DA3B86EE,RPC:getFileInfo,3543178497641362,3543178500610803,10.107.100.114,client003,RPC Client,Success: return(OW[class=class org.apache.hadoop.hdfs.protocol.HdfsFileStatus,value=null])
29801F1EAC5AF995,E5A8D7A78601F33D,mkdirs,3549108159001041,3549108160278960,10.107.100.57,namenode,Namenode,Success: return(OW[class=boolean,value=true])
29801F1EAC5AF995,B62D44B1DA3B86EE,RPC:mkdirs,3543178505627469,3543178507763859,10.107.100.114,client003,RPC Client,Success: return(OW[class=boolean,value=true])
29801F1EAC5AF995,5CF243D4004C45A5,fs -mkdir,3543178457525553,3543178507814307,10.107.100.114,client003,User,A user task
AA25B674DDFA30D1,C0DB6B09CDC7AF08,mkdirs,3549108160168441,3549108161557554,10.107.100.57,namenode,Namenode,Success: return(OW[class=boolean,value=true])
AA25B674DDFA30D1,C35617B8A274D77F,RPC:mkdirs,1737024708557643,1737024711632964,10.107.100.113,client002,RPC Client,Success: return(OW[class=boolean,value=true])
AA25B674DDFA30D1,8A62571EAE48E5BC,fs -mkdir,1737024658759220,1737024711682150,10.107.100.113,client002,User,A user task
4D3C5F14404BC652,50025E5EDB0C30BD,getFileInfo,3549108176831799,3549108177664924,10.107.100.57,namenode,Namenode,Success: return(OW[class=class org.apache.hadoop.hdfs.protocol.HdfsFileStatus,value=null])
4D3C5F14404BC652,F4372DB80ED4A9DF,RPC:getFileInfo,272724262428935,272724266753568,10.107.100.54,client005,RPC Client,Success: return(OW[class=class org.apache.hadoop.hdfs.protocol.HdfsFileStatus,value=null])
4D3C5F14404BC652,909609F2027C7171,mkdirs,3549108191731344,3549108193525998,10.107.100.57,namenode,Namenode,Success: return(OW[class=boolean,value=true])
4D3C5F14404BC652,F4372DB80ED4A9DF,RPC:mkdirs,272724277040831,272724280318607,10.107.100.54,client005,RPC Client,Success: return(OW[class=boolean,value=true])
4D3C5F14404BC652,E2BCE6E9723EEFD7,fs -mkdir,272724242413434,272724280424918,10.107.100.54,client005,User,A user task
CFFDD7B8DF5172AF,4BF190436B68741D,getFileInfo,3549108972184579,3549108973164343,10.107.100.57,namenode,Namenode,Success: return(OW[class=class org.apache.hadoop.hdfs.protocol.HdfsFileStatus,value=null])
CFFDD7B8DF5172AF,8CE7FCA7A0668C13,RPC:getFileInfo,1737058147687694,1737058151479140,10.107.100.112,client001,RPC Client,Success: return(OW[class=class org.apache.hadoop.hdfs.protocol.HdfsFileStatus,value=null])
CFFDD7B8DF5172AF,B215E70673E6F9F1,create,3549108986052432,3549108988818195,10.107.100.57,namenode,Namenode,Success: return(OW[class=void,value=null])
CFFDD7B8DF5172AF,8CE7FCA7A0668C13,RPC:create,1737058161393946,1737058166130422,10.107.100.112,client001,RPC Client,Success: return(OW[class=void,value=null])
CFFDD7B8DF5172AF,3F75232F1AB79A75,complete,3549108995190860,3549108997521891,10.107.100.57,namenode,Namenode,Success: return(OW[class=boolean,value=true])
CFFDD7B8DF5172AF,8CE7FCA7A0668C13,RPC:complete,1737058169671828,1737058174921296,10.107.100.112,client001,RPC Client,Success: return(OW[class=boolean,value=true])
CFFDD7B8DF5172AF,625ADF8DCC091595,fs -touchz,1737058144781970,1737058175076467,10.107.100.112,client001,User,A user task
202E944E41D9CE8D,60F83A8833CC34E8,getFileInfo,3549109137870621,3549109138730340,10.107.100.57,namenode,Namenode,Success: return(OW[class=class org.apache.hadoop.hdfs.protocol.HdfsFileStatus,value=null])
202E944E41D9CE8D,831BDE1912FB49A4,RPC:getFileInfo,3543179484231821,3543179487603548,10.107.100.114,client003,RPC Client,Success: return(OW[class=class org.apache.hadoop.hdfs.protocol.HdfsFileStatus,value=null])
202E944E41D9CE8D,12F7E66FE40A29C7,create,3549109156483048,3549109158380234,10.107.100.57,namenode,Namenode,Success: return(OW[class=void,value=null])
202E944E41D9CE8D,831BDE1912FB49A4,RPC:create,3543179502718466,3543179506136852,10.107.100.114,client003,RPC Client,Success: return(OW[class=void,value=null])
202E944E41D9CE8D,40E1B93C0B6E5754,complete,3549109161601315,3549109162930050,10.107.100.57,namenode,Namenode,Success: return(OW[class=boolean,value=true])
202E944E41D9CE8D,831BDE1912FB49A4,RPC:complete,3543179508168150,3543179510487237,10.107.100.114,client003,RPC Client,Success: return(OW[class=boolean,value=true])
202E944E41D9CE8D,89BB2A4702DF192B,fs -touchz,3543179479782562,3543179510585637,10.107.100.114,client003,User,A user task
0E597979CE7EA663,342A01B695FA91FE,getFileInfo,3549109202944592,3549109204141467,10.107.100.57,namenode,Namenode,Success: return(OW[class=class org.apache.hadoop.hdfs.protocol.HdfsFileStatus,value=null])
0E597979CE7EA663,C0EB7ADDC1097305,RPC:getFileInfo,1737025751734079,1737025756218728,10.107.100.113,client002,RPC Client,Success: return(OW[class=class org.apache.hadoop.hdfs.protocol.HdfsFileStatus,value=null])
432A328393A1FE3C,6728B9CD7E7E7EE8,getFileInfo,3549109215250019,3549109215494188,10.107.100.57,namenode,Namenode,Success: return(OW[class=class org.apache.hadoop.hdfs.protocol.HdfsFileStatus,value=null])
0E597979CE7EA663,F83EB7B2613BC5A7,create,3549109221531312,3549109224226348,10.107.100.57,namenode,Namenode,Success: return(OW[class=void,value=null])
432A328393A1FE3C,D116A66A361532D5,RPC:getFileInfo,1736863387199881,1736863389862957,10.107.100.115,client004,RPC Client,Success: return(OW[class=class org.apache.hadoop.hdfs.protocol.HdfsFileStatus,value=null])
0E597979CE7EA663,C0EB7ADDC1097305,RPC:create,1737025770175001,1737025774494461,10.107.100.113,client002,RPC Client,Success: return(OW[class=void,value=null])
0E597979CE7EA663,205418C2CB60BB02,complete,3549109229066720,3549109230543294,10.107.100.57,namenode,Namenode,Success: return(OW[class=boolean,value=true])
0E597979CE7EA663,C0EB7ADDC1097305,RPC:complete,1737025777584206,1737025780556904,10.107.100.113,client002,RPC Client,Success: return(OW[class=boolean,value=true])
0E597979CE7EA663,161DCA50C5E16762,fs -touchz,1737025747601293,1737025780653368,10.107.100.113,client002,User,A user task
432A328393A1FE3C,C42CCF8CEE86054B,create,3549109231107547,3549109233087422,10.107.100.57,namenode,Namenode,Success: return(OW[class=void,value=null])
432A328393A1FE3C,D116A66A361532D5,RPC:create,1736863403081979,1736863406409259,10.107.100.115,client004,RPC Client,Success: return(OW[class=void,value=null])
432A328393A1FE3C,09387A3598A3AFE4,complete,3549109236613704,3549109237981313,10.107.100.57,namenode,Namenode,Success: return(OW[class=boolean,value=true])
432A328393A1FE3C,D116A66A361532D5,RPC:complete,1736863408716158,1736863411160999,10.107.100.115,client004,RPC Client,Success: return(OW[class=boolean,value=true])
432A328393A1FE3C,36F085BDDC66D324,fs -touchz,1736863384327672,1736863411243388,10.107.100.115,client004,User,A user task
E630D8248BD6CABB,80002101BC35EFBD,getFileInfo,3549109353005963,3549109354232871,10.107.100.57,namenode,Namenode,Success: return(OW[class=class org.apache.hadoop.hdfs.protocol.HdfsFileStatus,value=null])
E630D8248BD6CABB,62BDC51F94DD68FE,RPC:getFileInfo,272725438443383,272725442163118,10.107.100.54,client005,RPC Client,Success: return(OW[class=class org.apache.hadoop.hdfs.protocol.HdfsFileStatus,value=null])
E630D8248BD6CABB,3D5D1EA16DDACB38,create,3549109366431252,3549109368107806,10.107.100.57,namenode,Namenode,Success: return(OW[class=void,value=null])
E630D8248BD6CABB,62BDC51F94DD68FE,RPC:create,272725451672212,272725454764510,10.107.100.54,client005,RPC Client,Success: return(OW[class=void,value=null])
