OpName,Num,MaxDelay,MinDelay,AverageDelay
getFileInfo,4701,5722974,0,146369.430396593
mkdirs,429,13023906,743088,1376385.77552444
RPC:getFileInfo,4701,15696230,217531,2312348.07549665
RPC:mkdirs,429,14286467,577866,2327874.51219892
complete,429,5761882,678178,1138083.5048951
RPC:complete,429,7442568,1194423,2220832.69479413
RPC:create,429,12055484,1637203,2700427.87700071
create,429,10674629,827740,1548228.85858582
rename,429,3841340,712428,1346746.12319343
RPC:rename,429,4837856,1421619,2296922.58006996
setOwner,428,3726943,672002,1123775.69637847
setPermission,428,24918662,609259,1248330.43613705
RPC:setOwner,428,4881719,1163866,2362350.89774148
RPC:setPermission,428,26039666,1274525,2477084.29209501
getListing,426,681045,0,139280.29597027
RPC:getListing,426,20597741,865957,1869763.03051646
RPC:getContentSummary,426,5408785,1468945,2269144.84534429
getContentSummary,426,1976659,94268,366031.196361503
RPC:delete,425,7589031,1240590,2050967.98458819
delete,425,3756807,721726,1177463.49388231
