OpName,Num,MaxDelay,MinDelay,AverageDelay
nextBlockOutputStream,2329,5039663900,15805890,64926601.5386147
OP: new BlockReceiver,6987,5029251606,112362,19667374.6943206
getFileInfo,1158,9908071,0,292069.138761425
addBlock,2329,656399618,67915,2130608.01930733
RPC:getFileInfo,1158,33340829,193150,3792310.75989118
createBlockOutputStream,2329,5036401424,14212878,58511963.6545374
OP: connect next Datanode,4658,5028505749,3340036,23861669.5016783
RPC:addBlock,2329,686869775,1064829,5669507.63708319
RPC:create,242,2266476621,2120688,19840254.6825067
create,242,2248300213,927869,17243319.589187
OP: send block,2329,51336581421,753961427,5513715562.22754
writeBlock,6987,51369869160,766743353,5579919387.4196
receiveBlock,6987,51351932707,760433851,5543210421.41527
complete,242,501638621,1015637,20591316.5427
RPC:complete,242,503139110,1821733,24307924.2575759
chooseDataNode,2181,12157898,156418,289603.987314697
getBlockLocations,329,154378689,98702,778506.978723398
OP: try new BlockReader,2181,1310640419,3847844,16769705.436756
RPC:getBlockLocations,329,166237357,1340983,8537940.0111449
newBlockReader,2181,1306846180,1827668,10044805.4381783
bestNode,2181,11940646,0,28804.5818202658
blockSeekTo,2181,1312051805,4254980,17928525.5840278
OP: new blockSender,2180,397884290,0,1171750.53579514
readBlock,2181,11698441117,376550435,1320917285.57071
checksumOk,2180,20610935,178946,353852.630966557
sendBlock,2181,11671192596,369327724,1263225143.1622
verifiedByClient,2178,4528613083,0,13909598.0711598
OP: receive block,2180,11688870065,374305176,1294639212.66428
