TaskID,Title,NumReports,NumEdges,FirstSeen,LastUpdated,StartTime,EndTime
386058FA16D095E1,fs -copyFromLocal,215,96,2013-10-29 12:29:18,2013-10-29 12:29:54,3589737317787291,3589773576635048
DC2CAEA6B6C82928,fs -copyFromLocal,263,117,2013-10-29 12:29:23,2013-10-29 12:30:02,3588502015031278,3588541021526251
25F6411309982B61,fs -copyFromLocal,231,103,2013-10-29 12:29:54,2013-10-29 12:30:56,3585365730263314,3585427280882631
79EF75D2202CC2E0,fs -copyFromLocal,263,117,2013-10-29 12:30:06,2013-10-29 12:30:49,1297594805713982,1297637496057302
D91B26D000B42BD0,fs -copyFromLocal,87,40,2013-10-29 12:30:08,2013-10-29 12:30:17,1785045959337200,1785055027809313
F037FDCFF1FB47CB,fs -copyFromLocal,247,110,2013-10-29 12:30:15,2013-10-29 12:31:15,3554075319205843,3554134989582436
C78E62142DCDCEA8,fs -copyFromLocal,103,47,2013-10-29 12:30:18,2013-10-29 12:30:31,3589636812540645,3589649933612698
4D7A0825743D3D2B,fs -copyFromLocal,311,138,2013-10-29 12:30:35,2013-10-29 12:32:22,1240081051253705,1240187907200252
2F4A8A7C5496958E,fs -copyFromLocal,23,12,2013-10-29 12:30:46,2013-10-29 12:30:50,3589009559869510,3589013540387489
05357351F1B6829A,fs -copyFromLocal,231,103,2013-10-29 12:30:47,2013-10-29 12:31:19,1784036847799486,1784069373540373
DD7C714E2AAE6334,fs -copyToLocal,66,27,2013-10-29 12:30:50,2013-10-29 12:30:56,1785088016773377,1785093608184575
9A9CEC59DB725772,fs -copyToLocal,189,72,2013-10-29 12:31:15,2013-10-29 12:31:29,3588614338196137,3588627891229649
ABA65E419A0B5A72,fs -copyFromLocal,151,68,2013-10-29 12:31:29,2013-10-29 12:31:48,1419515687460354,1419534384830010
182EABB5C04507A3,fs -copyFromLocal,135,61,2013-10-29 12:31:37,2013-10-29 12:32:15,1420073611838344,1420111985629879
511FA06A05892090,fs -copyToLocal,154,58,2013-10-29 12:31:46,2013-10-29 12:31:59,3589885458790996,3589898430654293
A5E9F9E92349BA71,fs -copyFromLocal,87,40,2013-10-29 12:31:48,2013-10-29 12:32:19,2349122331438038,2349153510864624
B634D3F4B6235CAA,fs -copyToLocal,110,43,2013-10-29 12:31:49,2013-10-29 12:32:03,1419535533458622,1419549686374642
7789719B08A358C4,fs -copyToLocal,77,31,2013-10-29 12:31:59,2013-10-29 12:32:04,3589737823624998,3589742286878122
5228A94D21F6992B,fs -copyToLocal,167,64,2013-10-29 12:32:18,2013-10-29 12:32:29,1784127642672309,1784138551183583
3B91B23AA16E8D61,fs -copyFromLocal,151,68,2013-10-29 12:32:20,2013-10-29 12:32:57,1297667952804985,1297705407220705
8621937738267554,fs -copyFromLocal,231,103,2013-10-29 12:32:21,2013-10-29 12:34:02,310324836696562,310425816360720
0314A89621EB8A5D,fs -copyToLocal,189,72,2013-10-29 12:32:26,2013-10-29 12:32:47,1297734850305746,1297755068875185
CD6D65BF477ABB45,fs -copyToLocal,99,39,2013-10-29 12:32:35,2013-10-29 12:32:43,1420131934427889,1420138943768751
1422036675D53701,fs -copyToLocal,178,68,2013-10-29 12:32:36,2013-10-29 12:33:07,3554216422199132,3554246782611345
0E432F30BDF9A43E,fs -copyToLocal,22,11,2013-10-29 12:32:50,2013-10-29 12:32:52,3589133421452533,3589135429789363
38C9C68D01A58D3E,fs -copyToLocal,66,27,2013-10-29 12:32:52,2013-10-29 12:32:56,2349186429243625,2349190409233370
6B63349A8B49DEF8,fs -copyToLocal,167,64,2013-10-29 12:32:52,2013-10-29 12:33:09,3585543762105129,3585560303832471
83D13455FCEA87D0,fs -copyFromLocal,247,110,2013-10-29 12:33:08,2013-10-29 12:33:52,1419614970709597,1419658797496202
CF963579605E2C74,fs -copyFromLocal,151,68,2013-10-29 12:33:16,2013-10-29 12:33:43,1783743819905381,1783771188188701
CB56B2FF4CA76A47,fs -copyFromLocal,135,61,2013-10-29 12:33:23,2013-10-29 12:34:02,1297504622396716,1297543513467924
F594E4928F4FC6A0,fs -copyFromLocal,231,103,2013-10-29 12:33:28,2013-10-29 12:34:10,1422977517849072,1423019401025635
EAAFBADB8AC26682,fs -copyFromLocal,23,12,2013-10-29 12:33:39,2013-10-29 12:33:42,3590525613261176,3590528596964342
3E0C9AE14666FD5E,fs -copyFromLocal,263,117,2013-10-29 12:33:42,2013-10-29 12:40:29,319911505526722,320318740629804
93EE80946A4037D9,fs -copyFromLocal,311,138,2013-10-29 12:34:00,2013-10-29 12:36:30,2349254463544059,2349404175846591
22BC7E59978A99C4,fs -copyFromLocal,135,61,2013-10-29 12:34:09,2013-10-29 12:34:50,3587909017891419,3587949798829521
DE6E77AB04656333,fs -copyToLocal,221,83,2013-10-29 12:34:18,2013-10-29 12:34:34,1240304183496391,1240319983698725
33600854D15A1701,fs -copyFromLocal,231,103,2013-10-29 12:34:21,2013-10-29 12:35:35,3590067098774207,3590141483908322
DEA27EE26D180746,fs -copyFromLocal,23,12,2013-10-29 12:34:22,2013-10-29 12:34:25,1297849874042661,1297853241618801
84D23454AE23FB77,fs -copyFromLocal,263,117,2013-10-29 12:34:29,2013-10-29 12:35:38,1784064590510646,1784133805662730
A3ED162A0925A207,fs -copyToLocal,178,68,2013-10-29 12:34:33,2013-10-29 12:35:10,1419699794521295,1419736531842872
9DB8B619CA463150,fs -copyToLocal,99,39,2013-10-29 12:34:34,2013-10-29 12:34:57,1297575237513407,1297599088987636
1FAA65D56BAEE58C,fs -copyToLocal,110,43,2013-10-29 12:34:46,2013-10-29 12:35:01,1783833964702898,1783848943424754
D35D788089DC4E99,fs -copyToLocal,110,43,2013-10-29 12:34:51,2013-10-29 12:35:03,1297819277555758,1297830913444899
6A0452C9BFD68C80,fs -copyToLocal,167,64,2013-10-29 12:35:01,2013-10-29 12:35:31,310484363274485,310515276201576
397CA85BB34881A5,fs -copyFromLocal,263,117,2013-10-29 12:35:11,2013-10-29 12:36:41,3589489697285844,3589579253158684
4A80621CC5E83640,fs -copyFromLocal,39,19,2013-10-29 12:35:15,2013-10-29 12:36:16,317259723576827,317321136174189
280BA5CDE34B0032,fs -copyFromLocal,167,75,2013-10-29 12:35:16,2013-10-29 12:35:53,3589926570911160,3589963945277943
