OpName,Num,MaxDelay,MinDelay,AverageDelay
getFileInfo,4029,8265138,0,216679.534110739
mkdirs,267,799266821,905874,18061041.8936745
RPC:getFileInfo,4029,215662311,538388,4237891.09554723
RPC:mkdirs,267,801759292,1871303,20879261.907095
nextBlockOutputStream,2418,5632278748,14574462,67184832.0457893
OP: new BlockReceiver,7254,3938286562,2799,20182083.1320436
addBlock,2418,649021417,0,1123914.78912328
createBlockOutputStream,2418,5629128707,12466750,61166459.0359042
OP: connect next Datanode,4836,3327514873,3671586,24035072.9537693
RPC:addBlock,2418,650568075,1094433,4909493.52582025
RPC:create,240,1251569660,2206775,26367050.6958334
create,240,1250248166,1221746,22862641.9666661
OP: send block,2418,38334719143,573751549,5526835729.54673
complete,240,678897468,956452,17975237.1958334
writeBlock,7254,38379695661,579210397,5617419601.1435
RPC:complete,240,680010371,1646526,20925925.9131943
receiveBlock,7254,38352777586,573770892,5579499709.14947
rename,238,461038085,956060,14054244.6498603
RPC:rename,238,463876002,1891122,16994411.1484598
setPermission,238,751334865,984246,19079600.2408966
RPC:setPermission,238,752843649,2169754,22206719.9201677
setOwner,238,1007878315,863969,23901656.4915964
RPC:setOwner,238,1012136227,2019619,27057799.4957981
RPC:getContentSummary,238,17630828,1835091,4152541.76750701
getContentSummary,238,1569738,233322,442862.032212881
getListing,238,1914320,13981,182882.266106441
RPC:getListing,238,22658414,1137186,3557698.58963584
getBlockLocations,345,5234283,9487,282850.075362315
RPC:getBlockLocations,345,147319182,1555194,9060627.77487923
newBlockReader,2343,2953772813,2840813,12502970.054908
blockSeekTo,2343,2956196334,4326230,19286049.0447604
OP: new blockSender,2343,2792518913,0,2614853.78136795
chooseDataNode,2343,9726359,129550,288181.736277258
OP: try new BlockReader,2343,2955812654,3926771,18056947.9940044
bestNode,2343,390254,0,23054.6980356886
sendBlock,2343,21798540899,384262937,1351049887.8244
OP: receive block,2343,21820518544,389069729,1384165872.03419
readBlock,2342,21827412437,391257241,1405619778.0791
checksumOk,2343,5026808,99132,347965.401017197
verifiedByClient,2338,4459906172,0,10244909.718987
RPC:delete,464,2677979162,1718580,29192682.1073994
delete,464,2674149028,942658,25707357.3658401
