TaskID,Title,NumReports,NumEdges,FirstSeen,LastUpdated,StartTime,EndTime
D695420EC280FDD5,fs -copyFromLocal,55,26,2013-10-26 21:56:08,2013-10-26 21:56:13,3363946952706368,3363951428492684
36BC077DCA70BF58,fs -copyFromLocal,183,82,2013-10-26 21:56:10,2013-10-26 21:56:32,1197539732421667,1197561417492690
3B6F1BF9957729F4,fs -copyFromLocal,103,47,2013-10-26 21:56:17,2013-10-26 21:56:41,1558294587204219,1558319135383800
98A65BBDE46C8D5C,fs -copyFromLocal,23,12,2013-10-26 21:56:43,2013-10-26 21:56:44,3363981235149955,3363983227738136
53892C4227CED21F,fs -copyFromLocal,263,117,2013-10-26 21:56:44,2013-10-26 21:57:18,3364947996448246,3364981590892079
37FA9243AC1779F5,fs -copyFromLocal,55,26,2013-10-26 21:57:10,2013-10-26 21:57:22,1558657599231042,1558669861817446
960B8F6E9FB15318,fs -copyFromLocal,311,138,2013-10-26 21:57:22,2013-10-26 21:58:03,3364648781784295,3364689139035100
BD66F5E2FF8A7C7D,fs -copyFromLocal,103,47,2013-10-26 21:57:29,2013-10-26 21:57:47,3364628602122754,3364646521980123
A0326E0C5A2283F4,fs -copyFromLocal,119,54,2013-10-26 21:57:38,2013-10-26 21:58:02,1558657358037364,1558680704564829
D666974601608EF6,fs -copyFromLocal,247,110,2013-10-26 21:57:50,2013-10-26 21:58:32,1564148305962020,1564189665363116
E8C0D68A8BEF3E36,fs -copyFromLocal,103,47,2013-10-26 21:58:15,2013-10-26 21:58:29,1072483699578434,1072497463613163
7F3854BD10E48557,fs -copyFromLocal,103,47,2013-10-26 21:58:46,2013-10-26 21:59:12,1558725154389566,1558750729766911
1295266960A4D332,fs -copyFromLocal,231,103,2013-10-26 21:58:46,2013-10-26 21:59:35,3364536844301875,3364585592178039
F4239799CAF1D67A,fs -copyFromLocal,135,61,2013-10-26 21:58:56,2013-10-26 22:00:01,1194912780358627,1194977362641190
952946F3A324CECA,fs -copyFromLocal,151,68,2013-10-26 21:58:58,2013-10-26 21:59:30,1558733971260856,1558765976671682
DEF3C1FC1E2075B9,fs -copyFromLocal,55,26,2013-10-26 21:59:00,2013-10-26 21:59:09,1558930074810609,1558939159710568
B8EB07B890699C56,fs -copyFromLocal,279,124,2013-10-26 21:59:04,2013-10-26 22:00:24,3364545057499565,3364624273770105
B8DF9A3CA4E0E3D0,fs -copyFromLocal,247,110,2013-10-26 21:59:09,2013-10-26 22:00:14,3365356652712583,3365421745461905
3B5CD8E628208D0F,fs -copyFromLocal,311,138,2013-10-26 21:59:14,2013-10-26 22:02:06,1558468330126777,1558640050916883
50F965B22B169F4B,fs -copyFromLocal,279,124,2013-10-26 21:59:30,2013-10-26 22:00:46,1558487971047153,1558564114173855
5C4EBCC273E9B338,fs -copyFromLocal,87,40,2013-10-26 21:59:30,2013-10-26 21:59:48,1072558228470204,1072576026432681
E2759B3C8314DAEF,fs -copyFromLocal,151,68,2013-10-26 21:59:35,2013-10-26 22:00:17,178775224960333,178816606500497
D70D31D464F62F40,fs -copyFromLocal,135,61,2013-10-26 21:59:52,2013-10-26 22:00:35,3362652405736712,3362695251295025
6A03CF9F864E5ECF,fs -copyFromLocal,55,26,2013-10-26 21:59:53,2013-10-26 22:00:05,1558820668000460,1558832689267955
86CFF8BDFF93A9BB,fs -copyFromLocal,39,19,2013-10-26 22:00:10,2013-10-26 22:00:20,1558554261536911,1558564077095667
87E772E79C6440E0,fs -copyFromLocal,119,54,2013-10-26 22:00:29,2013-10-26 22:01:39,3363992968801040,3364062209896940
C8D14D03F4C4E56B,fs -copyFromLocal,263,117,2013-10-26 22:00:33,2013-10-26 22:01:22,3329093359013664,3329142464119115
6130F3B0B4172191,fs -copyFromLocal,39,19,2013-10-26 22:00:41,2013-10-26 22:00:45,1558844370153786,1558848944765135
B0A96134960C6276,fs -copyFromLocal,311,138,2013-10-26 22:00:46,2013-10-26 22:02:50,3362535107029635,3362659307160445
B28942A0BBFF2814,fs -copyFromLocal,215,96,2013-10-26 22:01:15,2013-10-26 22:01:49,1564352681576182,1564386553427664
A904265812B62D98,fs -copyFromLocal,135,61,2013-10-26 22:02:04,2013-10-26 22:02:21,1197893973470689,1197910167068331
7D0EDE950B562B7D,fs -copyFromLocal,87,40,2013-10-26 22:02:18,2013-10-26 22:02:33,178939496677287,178954346110099
48E6152FD61CF226,fs -copyFromLocal,167,75,2013-10-26 22:02:22,2013-10-26 22:02:49,1564420413133476,1564446663033514
43A7DFCDC99C3011,fs -copyFromLocal,247,110,2013-10-26 22:02:42,2013-10-26 22:03:33,1558900598478172,1558950929453037
BAE4904B197D1D8F,fs -copyFromLocal,183,82,2013-10-26 22:02:52,2013-10-26 22:03:47,3365315285852897,3365370922864953
3ECB33D318D805BE,fs -copyFromLocal,215,96,2013-10-26 22:02:51,2013-10-26 22:03:41,182727362370105,182777333193119
465263F27B1BAD5B,fs -copyFromLocal,215,96,2013-10-26 22:02:55,2013-10-26 22:04:38,3362835116046505,3362938096711141
F771030D5F1B7067,fs -copyFromLocal,215,96,2013-10-26 22:03:01,2013-10-26 22:04:11,1072769107148289,1072839863613008
15B0FFEDE9D98350,fs -copyFromLocal,231,103,2013-10-26 22:03:04,2013-10-26 22:04:21,1072712293655471,1072789175881066
79B04D7A3FAEF738,fs -copyFromLocal,231,103,2013-10-26 22:03:16,2013-10-26 22:05:16,3362522151552199,3362641822910961
F963623F0D6FBBD7,fs -copyFromLocal,135,61,2013-10-26 22:03:22,2013-10-26 22:04:00,1194628889167616,1194666429897390
AA1E61CC64649AA7,fs -copyFromLocal,215,96,2013-10-26 22:03:46,2013-10-26 22:06:16,3364827236948810,3364977239751329
10817A4593869A2D,fs -copyFromLocal,279,124,2013-10-26 22:04:00,2013-10-26 22:05:51,1198009106314051,1198120557096508
025248CCC987DBFB,fs -copyFromLocal,135,61,2013-10-26 22:04:09,2013-10-26 22:04:51,1558792647532016,1558835466029014
B3C7C1E8D2973CBC,fs -copyFromLocal,23,12,2013-10-26 22:04:08,2013-10-26 22:04:12,3364858839627873,3364862821878930
4D1C1BE74BE1B6EE,fs -copyFromLocal,119,54,2013-10-26 22:04:09,2013-10-26 22:04:44,3364867374596788,3364903200370324
F4C42AC54C0CF72B,fs -copyFromLocal,279,124,2013-10-26 22:04:18,2013-10-26 22:06:22,2124293984744724,2124418029676287
29795BF76A57DC6B,fs -copyFromLocal,263,117,2013-10-26 22:04:27,2013-10-26 22:05:44,1559289602758210,1559366223388971
074B376680C3263A,fs -copyFromLocal,23,12,2013-10-26 22:04:32,2013-10-26 22:04:36,178992576388037,178996463479622
382FDCD6469C8FFA,fs -copyFromLocal,263,117,2013-10-26 22:04:33,2013-10-26 22:05:59,1559263017841529,1559348675947247
E20E34C3309EC0E1,fs -copyFromLocal,167,75,2013-10-26 22:04:34,2013-10-26 22:05:33,178885882995594,178945002169602
5B1C4BD160AD1902,fs -copyFromLocal,135,61,2013-10-26 22:04:40,2013-10-26 22:05:27,1559083884037757,1559130638006037
6B9CCEE30475271F,fs -copyFromLocal,23,12,2013-10-26 22:04:49,2013-10-26 22:04:56,3365090959518349,3365097799429734
6016F9280022F59B,fs -copyFromLocal,279,124,2013-10-26 22:04:51,2013-10-26 22:06:46,3325832043388642,3325947894442644
16D7BEEC6768D934,fs -copyFromLocal,183,82,2013-10-26 22:04:54,2013-10-26 22:06:19,178924786596607,179010388844153
AA858213E7A915BB,fs -copyFromLocal,215,96,2013-10-26 22:04:55,2013-10-26 22:07:01,1558809330952879,1558935107361697
762C9CD428903848,fs -copyFromLocal,215,96,2013-10-26 22:04:57,2013-10-26 22:06:23,3365076310726947,3365162811726004
D4C3792415772421,fs -copyFromLocal,231,103,2013-10-26 22:04:59,2013-10-26 22:07:03,94988757362405,95112245764220
78E31201D4D145A6,fs -copyFromLocal,103,47,2013-10-26 22:05:07,2013-10-26 22:05:53,3364917275250256,3364963390461668
BE0C7668CBD08B1E,fs -copyFromLocal,167,75,2013-10-26 22:05:12,2013-10-26 22:06:26,3365618303989139,3365692582908948
01B915743567AF25,fs -copyFromLocal,55,26,2013-10-26 22:05:27,2013-10-26 22:05:46,1558871292012910,1558890512324927
31C7EFB25A0DEF29,fs -copyFromLocal,39,19,2013-10-26 22:06:27,2013-10-26 22:06:31,1559182461622774,1559186896703136
BE05E63A005327D3,fs -copyFromLocal,247,110,2013-10-26 22:06:38,2013-10-26 22:07:35,3364577039604302,3364634220202640
6881F4CE1C6DA6B5,fs -copyFromLocal,247,110,2013-10-26 22:06:51,2013-10-26 22:07:29,179211436706550,179249402893223
D07E1F3D142E512F,fs -copyFromLocal,151,68,2013-10-26 22:07:17,2013-10-26 22:07:40,1072965203938172,1072987855659407
066E461A4BFAF655,fs -copyFromLocal,87,40,2013-10-26 22:07:22,2013-10-26 22:07:40,1559464675743686,1559482746669663
B5FE0AFE60719B8C,fs -copyFromLocal,87,40,2013-10-26 22:07:24,2013-10-26 22:07:49,3364407102180857,3364432422915606
857E346ECF4ABB84,fs -copyFromLocal,103,47,2013-10-26 22:07:43,2013-10-26 22:08:02,3329522751771902,3329542157438681
8858784A558E5A39,fs -copyFromLocal,295,131,2013-10-26 22:07:49,2013-10-26 22:08:45,183025326457086,183080887662548
2F269F8DE4F7B1EB,fs -copyFromLocal,295,131,2013-10-26 22:07:54,2013-10-26 22:08:40,3365084238322969,3365130149495084
4121CF90B5CD4AEA,fs -copyFromLocal,295,131,2013-10-26 22:07:55,2013-10-26 22:08:53,3365281445285602,3365339970392601
B79CB8FF62611B29,fs -copyFromLocal,103,47,2013-10-26 22:08:06,2013-10-26 22:08:40,1195462499195065,1195496848849000
62475D2C10B53E15,fs -copyFromLocal,103,47,2013-10-26 22:08:40,2013-10-26 22:08:54,1194946325265665,1194961021663712
89F2A4355000F3AE,fs -copyFromLocal,103,47,2013-10-26 22:08:54,2013-10-26 22:09:10,1559332761387513,1559349185137463
7655762AB897901A,fs -copyFromLocal,215,96,2013-10-26 22:09:00,2013-10-26 22:09:33,1559529763992119,1559562950549930
13E512361AB666CE,fs -copyFromLocal,103,47,2013-10-26 22:09:00,2013-10-26 22:09:19,3362865931275806,3362885064750361
E14F7258A954C0B6,fs -copyFromLocal,231,103,2013-10-26 22:09:03,2013-10-26 22:09:46,3365950819896250,3365993442993369
B84E7F7F8239E323,fs -copyFromLocal,199,89,2013-10-26 22:09:19,2013-10-26 22:10:08,1559386615746072,1559436073764447
E833F7BBF0706756,fs -copyFromLocal,23,12,2013-10-26 22:09:41,2013-10-26 22:09:45,3365360866120357,3365364840051765
F0288ED1568E12C2,fs -copyFromLocal,167,75,2013-10-26 22:09:52,2013-10-26 22:10:20,179204016925452,179231822321012
AC1C400DD370C947,fs -copyFromLocal,295,131,2013-10-26 22:09:52,2013-10-26 22:10:52,1559109715908496,1559170560826074
DC063ECE8CD7281D,fs -copyFromLocal,231,103,2013-10-26 22:09:54,2013-10-26 22:10:37,1559397236812048,1559440553296262
7EA10DFF39879343,fs -copyFromLocal,23,12,2013-10-26 22:10:07,2013-10-26 22:10:14,3365208118759359,3365214709513357
E71C5CDAA0252690,fs -copyFromLocal,119,54,2013-10-26 22:10:14,2013-10-26 22:10:43,1559636717484239,1559665152732996
ECF6F88E0A8D9777,fs -copyFromLocal,183,82,2013-10-26 22:10:22,2013-10-26 22:10:57,179253306469364,179288212358675
E139972915882FFA,fs -copyFromLocal,71,33,2013-10-26 22:10:25,2013-10-26 22:10:44,3366032665529917,3366051470218195
548FABE7307AB2F1,fs -copyFromLocal,71,33,2013-10-26 22:10:48,2013-10-26 22:10:58,3365954623874564,3365964573144311
C6DA0907A4C3BB5A,fs -copyFromLocal,135,61,2013-10-26 22:10:55,2013-10-26 22:11:31,3326196032338198,3326232035440351
7049771ECEB4A92B,fs -copyFromLocal,311,138,2013-10-26 22:10:56,2013-10-26 22:12:43,3362981926207851,3363088450500308
C41373562E09D498,fs -copyFromLocal,135,61,2013-10-26 22:11:04,2013-10-26 22:11:43,3365282912917251,3365322155206498
528DB03706BE346C,fs -copyFromLocal,199,89,2013-10-26 22:11:06,2013-10-26 22:11:44,179467459865958,179505818927539
2A4D0CCEDA9F68CD,fs -copyFromLocal,23,12,2013-10-26 22:11:10,2013-10-26 22:11:12,1073258085334858,1073260632765342
4431D28AC495554A,fs -copyFromLocal,151,68,2013-10-26 22:11:11,2013-10-26 22:12:12,3363330893540463,3363391864078337
1E7A8E93E98860DF,fs -copyFromLocal,55,26,2013-10-26 22:11:11,2013-10-26 22:11:36,1195647861117617,1195672596452197
ADA3B86EC55E6B49,fs -copyFromLocal,119,54,2013-10-26 22:11:27,2013-10-26 22:12:00,1559482962683080,1559515590997840
DD27B597A9C88966,fs -copyFromLocal,231,103,2013-10-26 22:11:43,2013-10-26 22:12:42,1559692955783724,1559751780226638
203EE3857A6BFA72,fs -copyFromLocal,279,124,2013-10-26 22:11:46,2013-10-26 22:12:53,1559444764714477,1559511030988589
F99090574AE13353,fs -copyFromLocal,151,68,2013-10-26 22:11:50,2013-10-26 22:12:26,1564988321302385,1565024467920668
321B922CF8D1421F,fs -copyFromLocal,71,33,2013-10-26 22:11:50,2013-10-26 22:12:29,3365511817192339,3365551122593655
7E8D150BCC4DA705,fs -copyFromLocal,103,47,2013-10-26 22:12:01,2013-10-26 22:12:54,3363209783974781,3363262821874810
8A448F67CB218503,fs -copyFromLocal,263,117,2013-10-26 22:12:06,2013-10-26 22:13:21,3366133266886700,3366208654419687
562BC94035E6788F,fs -copyFromLocal,183,82,2013-10-26 22:12:45,2013-10-26 22:13:49,1073292661138383,1073357440964843
AE7D2F00A677DC89,fs -copyFromLocal,167,75,2013-10-26 22:12:45,2013-10-26 22:13:20,1198534436904235,1198569157106312
68B5B9CA76A8FD2A,fs -copyFromLocal,119,54,2013-10-26 22:13:00,2013-10-26 22:13:46,1565058383235364,1565104540727679
5F9538BD07C0C0E4,fs -copyFromLocal,199,89,2013-10-26 22:13:07,2013-10-26 22:16:30,3364750285730541,3364953127260255
B210BBE7469C5605,fs -copyFromLocal,263,117,2013-10-26 22:13:07,2013-10-26 22:14:52,1559330591341670,1559435889064165
