OpName,Num,MaxDelay,MinDelay,AverageDelay
nextBlockOutputStream,3709,6446552256,16498615,102733119.287432
OP: new BlockReceiver,11127,6438165800,161549,41868813.0721526
getFileInfo,367,6484393,0,399317.989577605
addBlock,3709,1008259550,0,2044953.4139878
RPC:getFileInfo,367,31118476,1277339,5104775.31857375
createBlockOutputStream,3709,6444475568,14239545,95462096.0304034
OP: connect next Datanode,7418,6354035016,3546116,42386979.6616225
RPC:addBlock,3709,1012837445,926034,6015206.49017249
RPC:create,367,434955075,2148606,19749277.7266126
create,367,432066212,1123864,16764541.7520432
OP: send block,3709,83572570504,462254431,8940864480.59922
writeBlock,11127,84277629525,466767498,9147448252.63627
receiveBlock,11127,84240389143,462629391,9085871795.20306
RPC:complete,367,1342026338,1634739,22410521.7227522
complete,367,1328207641,922275,19510332.4759311
