OpName,Num,MaxDelay,MinDelay,AverageDelay
chooseDataNode,10388,9671414,0,285048.111891024
getBlockLocations,1564,5963248,0,324062.341432198
OP: try new BlockReader,10387,2422770570,3314301,16724885.2047133
RPC:getBlockLocations,1564,1779970588,1313497,11882723.9851347
getFileInfo,4231,7728741,0,251418.172475211
newBlockReader,10387,2396954893,1352326,9874196.76555373
bestNode,10388,4573816,0,24269.272020209
RPC:getFileInfo,4232,231135343,446094,5561409.69385391
blockSeekTo,10387,2423280848,3769780,18425071.6605241
OP: new blockSender,10387,2360589491,0,880331.338742052
readBlock,10386,48010558218,377659252,2172743238.97044
checksumOk,10388,8525926,0,353974.088985269
sendBlock,10388,48005058202,371776087,2121583035.43546
verifiedByClient,10326,28689708,0,86781.9753019628
OP: receive block,10388,48006478623,375570444,2167659030.0823
