OpName,Num,MaxDelay,MinDelay,AverageDelay
nextBlockOutputStream,1784,7222734091,13210979,72635085.1212824
OP: new BlockReceiver,5352,7215074085,0,25454187.6109509
getFileInfo,902,6341582,0,358240.931050032
addBlock,1784,252701744,0,1094399.46362107
RPC:getFileInfo,902,35212422,577837,3559571.97949366
createBlockOutputStream,1784,7219468930,10984897,66777216.0590161
OP: connect next Datanode,3568,7214338751,2995520,28855411.1477464
RPC:addBlock,1784,266249156,1388654,4727336.85390506
RPC:create,186,57439840,2593487,6730688.47311832
create,186,56175453,1143778,4282360.02150536
OP: send block,1784,124918927678,637795197,9104025992.48255
writeBlock,5352,124971324975,644276384,9240055804.5962
receiveBlock,5352,124958059122,638805695,9194864935.2447
RPC:complete,186,1012919220,1864879,13694673.2222225
complete,186,1011215724,932359,11239488.0358423
getBlockLocations,259,1659659,81273,386277.554697551
RPC:getBlockLocations,259,180783725,1807789,8233108.5907336
newBlockReader,1714,8708457438,2407777,29370288.9089742
blockSeekTo,1714,8711340916,3651374,35697475.5358909
OP: new blockSender,1714,8699565314,162492,19173714.1392063
chooseDataNode,1714,9099079,0,295371.571771677
OP: try new BlockReader,1714,8710961778,3179431,34624540.0313978
bestNode,1714,3801079,0,25255.1852197596
readBlock,1714,61316194413,394193017,3008437702.08403
sendBlock,1714,61306762002,388242440,2962689891.84575
OP: receive block,1714,61306613428,392353605,2971813335.86382
checksumOk,1714,6411190,0,361150.603228306
verifiedByClient,1657,1581892661,0,5540782.77947108
