OpName,Num,MaxDelay,MinDelay,AverageDelay
nextBlockOutputStream,2481,4228658669,14183155,59459452.573267
OP: new BlockReceiver,7443,4222576363,146623,17466358.0063485
getFileInfo,247,8838123,28248,584429.658501996
addBlock,2481,436035069,27126,1722362.59150685
RPC:getFileInfo,245,28395834,2195218,5108337.70687044
createBlockOutputStream,2481,4226739247,11906728,53591728.4048788
OP: connect next Datanode,4962,4221497503,2983156,22405223.4844781
RPC:addBlock,2481,451079546,1214226,5144418.42299569
RPC:create,245,1344080747,2224163,20192310.4408164
create,247,1342218639,1209718,17871929.4804318
OP: send block,2481,36144312913,700201041,4617015774.65077
writeBlock,7443,36198614030,708121597,4691094616.4185
receiveBlock,7443,36166284608,697561096,4657193240.70452
RPC:complete,248,694794737,1795024,20493897.9112905
complete,248,692943948,815942,18514406.5215054
